Property Address,Property City,Property Zip Code,Sale Date,Sale_Price,PropertyType,Cap_Rate,Bldg SF,Floor Area Ratio,Building Class,Building Condition,BuildingMaterials,Year Built,Number Of Units,Longitude,Latitude
149 Adler Ave,Campbell,95008,7/27/2011,715000,Multi-Family,4.75,3747,0.477933673,C,Other,Unknown,1963,4,-121.9525119,37.2792269
234 Pamela Ave,San Jose,95116,4/14/2011,705500,Multi-Family,5.34,3468,0.447541618,C,Other,Unknown,1959,6,-121.845837,37.365707
1322-1328 Hopkins Ave,Redwood City,94062,5/12/2011,705000,Multi-Family,2.84,2049,0.235192837,C,Other,WoodFrame,1926,4,-122.2411165,37.4867752
2924 Mabel St,Berkeley,94702,9/20/2011,695000,Multi-Family,7.55,3650,0.536843653,C,Other,WoodFrame,1963,5,-122.284201,37.853128
21825 Thelma St,Hayward,94541,6/15/2011,687500,Multi-Family,7.3,4810,0.593680573,C,Other,Masonry,1964,6,-122.1121861,37.6647227
2352 William Dr,Santa Clara,95050,9/9/2011,665000,Multi-Family,6,2816,0.426731323,B,Other,Masonry,1962,4,-121.9648996,37.364584
4270 Hamilton Ave,San Jose,95130,9/12/2011,643000,Multi-Family,4.33,2466,0.297826087,C,Other,Unknown,1961,3,-121.97762,37.293413
7 1st Ave,Daly City,94014,5/10/2011,633000,Multi-Family,5.06,3703,1.417145044,C,Other,WoodFrame,1952,4,-122.4641941,37.6928108
2073 Aldengate Way,Hayward,94545,6/24/2011,625000,Multi-Family,7.43,4192,0.419325798,C,Other,Masonry,1966,4,-122.095273,37.633754
436-442 Buckeye St,Redwood City,94063,8/26/2011,625000,Multi-Family,5.5,4364,1.065950171,C,Other,Unknown,1969,4,-122.22005,37.481258
2089 Aldengate Way,Hayward,94545,6/24/2011,625000,Multi-Family,7.83,4192,0.419325798,C,Other,Masonry,1966,4,-122.095615,37.633744
1123 Ayala Dr,Sunnyvale,94086,8/26/2011,620000,Multi-Family,3.86,3588,0.433542774,C,Other,Unknown,1964,4,-122.049038,37.383533
1171 Ayala Dr,Sunnyvale,94086,4/25/2011,611000,Multi-Family,6.8,3328,0.449426063,C,Other,Unknown,1963,4,-122.0511639,37.3839937
