Property Address,Property City,Property Zip Code,Sale Date,Sale_Price,PropertyType,Cap_Rate,Bldg SF,Floor Area Ratio,Building Class,Building Condition,BuildingMaterials,Year Built,Number Of Units,Longitude,Latitude
700 Lincoln Village Cir,Larkspur,94939,7/25/2007,94500000,Multi-Family,4.28,293198,0.397103239,B,Other,WoodFrame,1978,342,-122.5072564,37.9474726
1 Amberstone Ln,San Ramon,94582,5/4/2007,64300000,Multi-Family,4,237894,0.603457985,B,Other,WoodFrame,2004,250,-121.906034,37.765747
5004 Hartnett Ave,Richmond,94804,7/6/2007,48443500,Multi-Family,5.5,408500,0.38719535,B,Good,Unknown,1968,378,-122.324281,37.9169489
7800 El Camino Real,Colma,94014,9/20/2007,44000000,Multi-Family,4.83,221000,2.402226135,A,Other,ReinforcedConcrete,2005,153,-122.4644664,37.6847983
2795 San Leandro Blvd,San Leandro,94578,8/2/2007,28458000,Multi-Family,4.5,133974,0.616357815,C,Other,Masonry,1974,186,-122.143928,37.715303
448 Toyon Ave,San Jose,95127,4/17/2007,25200000,Multi-Family,4.9,163780,0.576491211,C,Other,WoodFrame,1986,144,-121.8271285,37.3828324
707 Leahy St,Redwood City,94061,4/3/2007,23000000,Multi-Family,4.43,93000,1.016660108,A,Other,WoodFrame,1973,110,-122.215375,37.469995
2020 Southwest Expy,San Jose,95126,8/30/2007,19500000,Multi-Family,4.89,94752,0.587736873,C,Other,WoodFrame,1968,130,-121.927472,37.299837
701 Taylor St,San Francisco,94108,7/23/2007,13500000,Multi-Family,4,34589,4.179434509,B,Other,Masonry,1918,60,-122.412263,37.789013
1101 N Camino Alto,Vallejo,94589,1/11/2007,12300000,Multi-Family,3.5,78000,0.320328542,B,Other,WoodFrame,1986,80,-122.245435,38.129046
1212 Whipple Ave,Redwood City,94062,8/30/2007,12025000,Multi-Family,4.5,97000,2.100794837,C,Other,WoodFrame,1962,114,-122.2422012,37.4889875
1531-1611 Adelaide St,Concord,94520,8/9/2007,12000000,Multi-Family,5.02,109876,1.083974587,C,Other,WoodFrame,1963,96,-122.0404288,37.9693087
565 Arastradero Rd,Palo Alto,94306,8/17/2007,11050000,Multi-Family,5.65,42267,0.866357841,C,Other,WoodFrame,1964,44,-122.124039,37.408642
2200 Curtner Ave,San Jose,95124,6/13/2007,10200000,Multi-Family,4.46,58958,0.656116805,B,Other,Unknown,1964,89,-121.938958,37.271712
9200 Alcosta Blvd,San Ramon,94583,2/20/2007,10200000,Multi-Family,4.51,42100,0.449738276,B,Other,WoodFrame,1969,60,-121.928779,37.73068
2081 Whitman Way,San Bruno,94066,9/11/2007,9125000,Multi-Family,4.9,44595,0.799824234,C,Other,WoodFrame,1964,49,-122.4269221,37.6179326
4401 Central Ave,Fremont,94536,2/20/2007,8450000,Multi-Family,5.47,51160,0.559272377,C,Other,WoodFrame,1965,62,-122.008428,37.551337
1654-1660 Hollenbeck Ave,Sunnyvale,94087,9/11/2007,7850000,Multi-Family,5.5,37216,0.625952401,C,Other,WoodFrame,1964,40,-122.0407079,37.3392492
947 Bush St,San Francisco,94109,7/24/2007,7500000,Multi-Family,6.88,31046,4.153866738,B,Other,Unknown,1910,53,-122.4127061,37.7893962
1035 Pine St,San Francisco,94109,5/3/2007,7500000,Multi-Family,3.74,34300,5.790006752,B,Other,Masonry,1924,38,-122.4129833,37.7903625
775 Geary St,San Francisco,94109,5/3/2007,7500000,Multi-Family,5.6,30660,4.630720435,B,Other,Unknown,1923,36,-122.4159901,37.7861292
1441 Casa Buena Dr,Corte Madera,94925,8/29/2007,7400000,Multi-Family,4.6,30480,0.201071325,C,Other,WoodFrame,1961,32,-122.512198,37.917296
1100-1128 Polk St,San Francisco,94109,2/15/2007,7080000,Multi-Family,4.97,33725,3.519252844,C,Other,Masonry,1917,55,-122.419798,37.787131
5322 D'Avilla Way,El Sobrante,94803,2/7/2007,6750000,Multi-Family,5.05,40774,0.239397836,C,Other,Masonry,1987,44,-122.284532,37.961724
1240 Alameda,Belmont,94002,2/28/2007,6685000,Multi-Family,5.5,53364,1.401218359,C,Other,Unknown,1964,40,-122.2911047,37.5077039
2775 Market St,San Francisco,94114,5/3/2007,6400000,Multi-Family,3.51,20550,2.347230154,C,Other,Unknown,1962,26,-122.4390647,37.7613257
3649 Market St,San Francisco,94131,2/2/2007,6350000,Multi-Family,4.31,23914,1.211142061,C,Other,WoodFrame,1964,33,-122.441146,37.7552792
30-40 Newell Rd,East Palo Alto,94303,9/13/2007,6250000,Multi-Family,5.33,33612,0.707278581,Unknown,Other,WoodFrame,1970,40,-122.1363218,37.4557323
14365 Bancroft Ave,San Leandro,94578,1/28/2007,6180000,Multi-Family,5.9,33550,0.605038683,C,Other,Masonry,1960,62,-122.136376,37.711692
315 Wayne Pl,Oakland,94606,8/15/2007,6150000,Multi-Family,5,40041,1.877567289,C,Other,WoodFrame,1966,46,-122.2513806,37.8002736
1050 Post St,San Francisco,94109,7/23/2007,6000000,Multi-Family,4.2,20840,3.554494286,B,Other,Masonry,1911,40,-122.4192474,37.7871893
1601-1621 Pine St,Concord,94520,8/9/2007,6000000,Multi-Family,5.1,36450,0.734020702,C,Other,WoodFrame,1986,43,-122.044296,37.968665
3843 Carol Ave,Fremont,94538,5/16/2007,5994047,Multi-Family,5.29,35764,0.528271787,C,Other,WoodFrame,1963,46,-121.9564317,37.5282727
211 Canal St,San Rafael,94901,8/15/2007,5850000,Multi-Family,6.62,28145,0.771032518,C,Other,Unknown,1962,34,-122.50322,37.966583
1601 Santa Clara St,Santa Clara,95050,8/31/2007,5750000,Multi-Family,4.17,26267,0.603007346,C,Other,WoodFrame,1986,36,-121.950517,37.344622
248 Pamela Dr,Mountain View,94040,5/11/2007,5750000,Multi-Family,4.96,27724,0.757693359,C,Other,WoodFrame,1958,38,-122.076176,37.380467
1300-1326 Grant Ave,San Francisco,94133,4/23/2007,5680000,Multi-Family,4.32,15800,1.259465923,C,Other,WoodFrame,1907,13,-122.407141,37.7991124
41277 Roberts Ave,Fremont,94538,2/28/2007,5450000,Multi-Family,5.25,30997,0.508289195,C,Other,WoodFrame,1967,45,-121.956621,37.530114
3830 Divisadero St,San Francisco,94123,5/3/2007,5350000,Multi-Family,4.39,16050,2.377425567,B,Other,WoodFrame,1936,12,-122.443535,37.805098
2400 Van Ness Ave,San Francisco,94109,5/8/2007,5225000,Multi-Family,4.13,20700,3.683929525,B,Other,WoodFrame,1907,28,-122.4235231,37.7978241
1489 Fruitdale Ave,San Jose,95128,5/25/2007,5050000,Multi-Family,6.84,34375,0.652190411,C,Other,WoodFrame,1964,40,-121.917638,37.311173
2121 7th St,Berkeley,94710,1/10/2007,5000000,Multi-Family,7.57,42421,1.116812342,C,Other,WoodFrame,1967,48,-122.295681,37.8660345
3436 Pierce St,San Francisco,94123,5/3/2007,4575000,Multi-Family,3.41,10483,2.092832901,B,Other,WoodFrame,1923,12,-122.439534,37.801973
1886 McAllister St,San Francisco,94115,5/11/2007,4500000,Multi-Family,4.2,12900,2.598187311,C,Other,WoodFrame,1902,18,-122.4430954,37.7769866
163 Merrydale Ave,San Rafael,94903,3/1/2007,4500000,Multi-Family,4.93,17800,0.51726142,C,Other,WoodFrame,1998,19,-122.535511,37.995621
2845 Pierce St,San Francisco,94123,4/23/2007,4350000,Multi-Family,3.62,11790,2.131236443,C,Other,Masonry,1924,12,-122.4389509,37.7963398
942 Antoinette Ln,South San Francisco,94080,7/18/2007,4090000,Multi-Family,4.8,23560,1.095762988,C,Good,Unknown,1965,24,-122.433816,37.656717
600 Oak St,San Francisco,94117,7/23/2007,3925000,Multi-Family,4.58,11520,2.299860252,C,Other,WoodFrame,1963,18,-122.4294308,37.7743998
138 Monte Cresta Ave,Oakland,94611,5/21/2007,3900000,Multi-Family,4.31,27948,1.944343954,C,Other,WoodFrame,1929,30,-122.249725,37.824335
3520 Brook St,Lafayette,94549,5/16/2007,3900000,Multi-Family,4.16,22929,0.641927266,C,Other,WoodFrame,1962,26,-122.118717,37.888603
406 Van Buren Ave,Oakland,94610,1/9/2007,3875000,Multi-Family,4.38,25851,2.067914567,C,Other,WoodFrame,1959,30,-122.253267,37.810678
439 S 4th St,San Jose,95112,5/31/2007,3650000,Multi-Family,11.34,20557,1.2110162,C,Other,WoodFrame,1965,30,-121.882668,37.330732
1622-1624 Harrison St,Oakland,94612,1/30/2007,3560000,Multi-Family,5.57,20630,2.645889445,C,Other,WoodFrame,1909,35,-122.2658477,37.8048122
16000 Mateo St,San Leandro,94578,8/14/2007,3550000,Multi-Family,7.64,23170,0.59234073,B,Other,WoodFrame,1965,26,-122.11718,37.700208
681 Cedar St,San Carlos,94070,7/10/2007,3500000,Multi-Family,4.8,16033,1.092240616,C,Other,ReinforcedConcrete,1970,14,-122.2633889,37.5028031
421 Richmond Dr,Millbrae,94030,3/26/2007,3500000,Multi-Family,4.46,17724,1.181442474,C,Other,ReinforcedConcrete,1970,16,-122.401357,37.6007223
1580 Madison St,Oakland,94612,5/23/2007,3500000,Multi-Family,5.3,18975,1.355357143,B,Other,Masonry,1907,37,-122.262337,37.80362
1418 Gordon St,Redwood City,94061,2/28/2007,3450000,Multi-Family,5,33954,1.563043778,C,Other,WoodFrame,1964,14,-122.230359,37.46819
2541 California St,San Francisco,94115,4/19/2007,3345000,Multi-Family,4.56,13686,2.895895049,C,Other,WoodFrame,1900,8,-122.4361919,37.7883688
200 Coggins Dr,Pleasant Hill,94523,4/30/2007,3330000,Multi-Family,4.45,31080,0.62044597,C,Other,Unknown,1963,21,-122.0571539,37.932976
445 Encinal Ave,Menlo Park,94025,8/17/2007,3300000,Multi-Family,4.43,14562,0.879772837,C,Other,WoodFrame,1959,13,-122.189038,37.4585174
29 Clinton St,Redwood City,94062,8/24/2007,3227000,Multi-Family,3.99,19208,2.111001209,C,Other,Unknown,1930,15,-122.241448,37.488041
1060 Pine St,San Francisco,94109,3/27/2007,3225000,Multi-Family,4.48,9329,1.810401708,B,Other,WoodFrame,1909,12,-122.4133146,37.7907582
2341 Valley St,Oakland,94612,7/25/2007,3193000,Multi-Family,6.46,21140,1.315249176,C,Other,Masonry,1910,41,-122.2677383,37.8133325
2533 Hillegass Ave,Berkeley,94704,5/9/2007,3180000,Multi-Family,5.5,16482,2.067745578,C,Other,Unknown,1974,18,-122.255957,37.864239
662 Garland Ave,Sunnyvale,94086,2/27/2007,3175000,Multi-Family,4.92,15506,0.508543505,C,Other,WoodFrame,1959,20,-122.0221883,37.3640672
346 Hanover Ave,Oakland,94606,7/27/2007,3150000,Multi-Family,5.49,35172,3.082018927,C,Other,WoodFrame,1965,22,-122.250396,37.802512
1220 Irwin St,San Rafael,94901,6/19/2007,3068500,Multi-Family,6,19521,1.183090909,C,Other,WoodFrame,1960,16,-122.519694,37.974369
1649-1657 Washington St,San Francisco,94109,3/16/2007,3050000,Multi-Family,4.34,9780,1.915768854,B,Other,WoodFrame,1908,7,-122.4205451,37.7931874
630 Corbett Ave,San Francisco,94114,5/1/2007,3050000,Multi-Family,3.7,10803,2.787151703,C,Good,WoodFrame,1960,10,-122.4436565,37.7566938
980-990 Alice Ln,Menlo Park,94025,4/27/2007,2950000,Multi-Family,3,6726,0.328530259,C,Other,WoodFrame,1953,8,-122.182497,37.445487
2426-2430 California St,San Francisco,94115,4/27/2007,2780000,Multi-Family,4.94,6290,1.900302115,C,Other,WoodFrame,1912,4,-122.4344899,37.7890895
2501 Rose Walk,Berkeley,94708,3/9/2007,2720000,Multi-Family,3,9571,0.477666317,B,Other,WoodFrame,1925,9,-122.261581,37.883278
1555 Madison St,Oakland,94612,3/28/2007,2650000,Multi-Family,5.96,18234,1.395316804,C,Other,ReinforcedConcrete,1957,27,-122.2633196,37.8033376
1160 Pine St,San Francisco,94109,5/3/2007,2650000,Multi-Family,3.6,12261,2.38540856,B,Other,WoodFrame,1913,15,-122.4150117,37.7905893
1509 Hearst Ave,Berkeley,94703,8/7/2007,2630000,Multi-Family,5.17,13140,1.31163905,C,Other,WoodFrame,1968,15,-122.281828,37.872416
400 Orange St,Oakland,94610,8/30/2007,2600000,Multi-Family,5.48,14820,1.415337599,C,Other,WoodFrame,1960,18,-122.2546112,37.8167141
3189 Cadillac Dr,San Jose,95117,3/29/2007,2555000,Multi-Family,7.3,14000,0.783918472,C,Other,WoodFrame,1958,20,-121.9525547,37.2971536
2945 McClure St,Oakland,94609,7/26/2007,2550000,Multi-Family,4,16192,1.616290677,C,Other,Masonry,1963,24,-122.2664845,37.8188485
427 34th Ave,San Francisco,94121,8/31/2007,2500000,Multi-Family,4.19,8282,1.358150213,C,Other,WoodFrame,1960,8,-122.4947989,37.7809779
239-243 Union St,San Rafael,94901,7/19/2007,2426000,Multi-Family,5.35,8800,0.577238439,C,Other,Unknown,1964,12,-122.5147,37.974782
460 S 4th St,San Jose,95112,1/24/2007,2400000,Multi-Family,7.52,13818,1.415633644,C,Other,WoodFrame,1964,28,-121.881856,37.330771
1601 Primrose Ln,Pinole,94564,6/27/2007,2375000,Multi-Family,5.36,15570,0.762151843,C,Other,WoodFrame,1974,15,-122.299052,38.006453
2141 Clement St,San Francisco,94121,9/25/2007,2350000,Multi-Family,7.98,7226,1.508244625,C,Other,WoodFrame,1964,10,-122.482305,37.781919
675 Cole St,San Francisco,94117,3/26/2007,2311000,Multi-Family,4.09,6085,1.455393447,C,Other,WoodFrame,1961,10,-122.4508495,37.7687113
766 Chestnut St,San Carlos,94070,8/17/2007,2300000,Multi-Family,4.3,8180,0.601913171,C,Other,WoodFrame,1957,10,-122.261829,37.502096
257 Poplar Ave,Hayward,94541,2/23/2007,2300000,Multi-Family,5.39,17660,0.72397819,C,Other,WoodFrame,1974,12,-122.099712,37.67125
1539 Encinal Ave,Alameda,94501,2/14/2007,2298000,Multi-Family,6.15,10602,0.904839123,C,Other,WoodFrame,1912,12,-122.259925,37.769632
1725-1727 San Carlos Ave,San Carlos,94070,4/26/2007,2275000,Multi-Family,4.2,11706,1.059270654,C,Other,WoodFrame,1956,10,-122.265883,37.50251
2842-2856 Joseph Ave,San Jose,95124,6/27/2007,2250000,Multi-Family,5.44,10304,0.566184955,C,Other,WoodFrame,1963,16,-121.939329,37.270359
3645 S Bascom Ave,Campbell,95008,3/27/2007,2150000,Multi-Family,3.52,8004,0.427335825,C,Other,WoodFrame,1986,10,-121.9456969,37.2616558
490 Estudillo Ave,San Leandro,94577,7/3/2007,2150000,Multi-Family,4.3,11100,1.088128615,C,Other,WoodFrame,1964,18,-122.150452,37.72681
10-20 Werner Ave,Daly City,94014,8/1/2007,2130000,Multi-Family,4.34,11002,1.220275067,C,Other,ReinforcedConcrete,1972,10,-122.468184,37.693204
17-& 21 Circle Dr,Belvedere Tiburon,94920,4/27/2007,2121000,Multi-Family,4.5,7750,0.697758171,C,Other,WoodFrame,1963,9,-122.4980687,37.8985622
465 Lee St,Oakland,94610,1/31/2007,2100000,Multi-Family,4.54,25624,3.268367347,C,Other,WoodFrame,1966,16,-122.2573793,37.8095502
2124 Mckinley Ave,Berkeley,94703,3/27/2007,2100000,Multi-Family,5.01,14241,1.52066204,C,Good,Unknown,1929,18,-122.274244,37.8694848
501 Alameda Del Prado,Novato,94949,9/7/2007,2050000,Multi-Family,7.9,11304,1.256139571,C,Other,Unknown,1975,8,-122.5401285,38.0648789
77 N Ellsworth Ave,San Mateo,94401,6/1/2007,2050000,Multi-Family,4.2,8268,0.682797919,C,Other,WoodFrame,1961,12,-122.3271917,37.568759
633 Alma Ave,Oakland,94610,4/12/2007,2030000,Multi-Family,6.17,12355,2.578793571,C,Other,ReinforcedConcrete,1935,18,-122.238854,37.804693
2645 Church Ln,San Pablo,94806,5/10/2007,2029000,Multi-Family,4.8,37025,0.653828495,C,Other,WoodFrame,1972,52,-122.337226,37.962355
485 Warren Dr,San Francisco,94131,9/7/2007,2000000,Multi-Family,3.4,7137,1.092286501,C,Other,Unknown,1961,9,-122.462446,37.7581699
604 Waller St,San Francisco,94117,9/7/2007,2000000,Multi-Family,6.15,4764,2.232427366,C,Good,WoodFrame,1905,6,-122.43376,37.770796
2126-2128 Pine St,San Francisco,94115,4/18/2007,2000000,Multi-Family,5,5275,1.459197787,C,Other,WoodFrame,1900,8,-122.4309294,37.7885312
3947 18th St,San Francisco,94114,4/23/2007,1925000,Multi-Family,4.64,5010,1.759129213,C,Other,WoodFrame,1912,6,-122.4316257,37.7608861
321 W Estudillo Ave,San Leandro,94577,2/5/2007,1920000,Multi-Family,5.19,9075,0.725941925,C,Other,WoodFrame,1959,14,-122.157748,37.723992
49-51 Walter St,San Francisco,94114,6/8/2007,1875000,Multi-Family,5.7,6589,2.109830291,C,Other,WoodFrame,1907,6,-122.432091,37.768394
20962-20986 Royal Ave,Hayward,94541,4/13/2007,1810000,Multi-Family,6.08,22252,0.545766703,C,Other,WoodFrame,1958,11,-122.113735,37.667623
625 Hyde St,San Francisco,94109,3/16/2007,1795000,Multi-Family,4.5,6444,2.947849954,C,Other,ReinforcedConcrete,1920,7,-122.4166981,37.7866631
1001-1007 Page St,San Francisco,94117,3/2/2007,1775000,Multi-Family,5.9,6144,1.932683234,C,Other,Unknown,1900,6,-122.4374626,37.7720412
125 4th Ave,San Francisco,94118,4/11/2007,1706888,Multi-Family,6.35,3950,1.295506724,B,Other,WoodFrame,1972,4,-122.462867,37.786216
2371 Sutter Ave,Santa Clara,95050,6/28/2007,1700000,Multi-Family,4.4,6876,0.607152318,C,Other,ReinforcedConcrete,1959,12,-121.963198,37.32928
32 E 40th Ave,San Mateo,94403,3/30/2007,1675000,Multi-Family,4.34,8028,1.137755102,C,Other,ReinforcedConcrete,1958,10,-122.290583,37.532736
530 Grove St,San Francisco,94102,6/28/2007,1635000,Multi-Family,6,5700,1.613816535,C,Other,ReinforcedConcrete,1900,10,-122.4255438,37.7777098
3832-3836 23rd St,San Francisco,94114,5/18/2007,1625000,Multi-Family,3.46,4088,2.760297097,C,Other,WoodFrame,1906,4,-122.4283637,37.7533857
463 W Sunset Blvd,Hayward,94541,3/23/2007,1610000,Multi-Family,5.55,8927,0.218718608,C,Other,WoodFrame,1960,11,-122.11181,37.67018
2867 MacArthur Blvd,Oakland,94602,1/26/2007,1600000,Multi-Family,6.12,27160,2.711119984,C,Other,WoodFrame,1933,16,-122.207218,37.798003
1507 Chestnut St,Alameda,94501,5/30/2007,1600000,Multi-Family,3.93,6772,1.295580639,C,Other,WoodFrame,1954,9,-122.251961,37.769953
4725 Mission St,San Francisco,94112,4/4/2007,1600000,Multi-Family,5,9900,2.36785458,C,Other,WoodFrame,1927,8,-122.436045,37.722634
2600 International Blvd,Oakland,94601,6/28/2007,1565000,Multi-Family,6.8,12158,1.430689574,C,Other,WoodFrame,1925,24,-122.2322812,37.7816007
2058-2060 San Ramon Ave,Mountain View,94043,8/24/2007,1550000,Multi-Family,4.27,5576,0.33042963,B,Other,Unknown,1962,6,-122.0918,37.4107868
540 Canal St,San Rafael,94901,2/23/2007,1550000,Multi-Family,5.04,6600,0.505050505,C,Other,WoodFrame,1970,10,-122.5112231,37.9673505
24 Belcher St,San Francisco,94114,4/13/2007,1550000,Multi-Family,3.91,4876,1.554846939,C,Other,WoodFrame,1974,6,-122.4304387,37.7688691
391 College Ave,Palo Alto,94306,9/6/2007,1536000,Multi-Family,3.64,4462,0.682889501,C,Other,Unknown,1962,5,-122.145957,37.4276457
98 Dutton Ave,San Leandro,94577,9/5/2007,1510000,Multi-Family,4.4,6425,0.456677802,C,Other,Masonry,1962,10,-122.159055,37.731761
1381 20th Ave,San Francisco,94122,7/13/2007,1490000,Multi-Family,6,4100,1.364392679,C,Other,WoodFrame,1962,6,-122.478348,37.76215
259 San Luis Ave,San Bruno,94066,7/6/2007,1450500,Multi-Family,5.06,5469,1.00848239,C,Other,ReinforcedConcrete,1962,6,-122.4050428,37.6187302
6612 Schmidt Ln,El Cerrito,94530,8/20/2007,1447500,Multi-Family,4.19,6708,0.706402696,C,Other,WoodFrame,1961,8,-122.3071226,37.9152219
3116 Lone Tree Way,Antioch,94509,3/30/2007,1430000,Multi-Family,4.33,8269,0.527326063,C,Other,WoodFrame,1990,10,-121.8082986,37.9908615
1504 Scott St,San Jose,95126,9/7/2007,1400000,Multi-Family,5.2,8496,0.780165289,B,Other,WoodFrame,1959,10,-121.917182,37.3194273
2101 Bridgeway Blvd,Sausalito,94965,5/31/2007,1400000,Multi-Family,4.08,3080,0.614893192,C,Other,WoodFrame,1893,5,-122.4958652,37.8624899
715 Pettis Ave,Mountain View,94041,6/26/2007,1400000,Multi-Family,3.99,5536,0.373801485,C,Other,WoodFrame,1959,7,-122.090528,37.390215
423 Studio Cir,San Mateo,94401,4/20/2007,1395500,Multi-Family,4.7,4900,0.692285956,C,Other,WoodFrame,1962,7,-122.3354073,37.5780986
2930 MacArthur Blvd,Oakland,94602,7/12/2007,1395000,Multi-Family,6.3,20228,2.02259774,C,Other,WoodFrame,1957,12,-122.206064,37.798128
4064 Hamilton Ave,San Jose,95130,4/5/2007,1380000,Multi-Family,4.22,6612,0.48981406,C,Other,Unknown,1963,8,-121.973945,37.293567
1395 Broadway,Millbrae,94030,5/10/2007,1380000,Multi-Family,3.41,5668,0.872134174,C,Other,Unknown,1954,5,-122.4019715,37.6092259
536 Vera Ave,Redwood City,94061,6/14/2007,1358438,Multi-Family,4.12,3650,0.335169881,C,Other,WoodFrame,1994,3,-122.232051,37.477477
1424 Laurel St,San Carlos,94070,5/1/2007,1355000,Multi-Family,3.8,6574,1.312437612,C,Other,ReinforcedConcrete,1959,6,-122.249369,37.496427
1264 Bush St,San Francisco,94109,6/26/2007,1350000,Multi-Family,3.83,4167,1.323277231,C,Other,Masonry,1917,6,-122.4180904,37.7891614
295-299 Guerrero St,San Francisco,94103,6/21/2007,1350000,Multi-Family,4.4,5670,2.701286327,B,Other,WoodFrame,1924,8,-122.424177,37.766494
302 Laurel Way,Mill Valley,94941,5/8/2007,1350000,Multi-Family,5.2,3200,1.123595506,C,Other,Unknown,1970,4,-122.5332898,37.8787698
361 Palm Ave,Oakland,94610,6/27/2007,1339500,Multi-Family,5.44,8504,1.301499847,C,Other,Masonry,1963,10,-122.25413,37.812425
2301 San Antonio Ave,Alameda,94501,8/29/2007,1330000,Multi-Family,4.2,5516,1.22960321,C,Other,WoodFrame,1914,7,-122.245742,37.762227
875 Fulton St,San Francisco,94117,3/29/2007,1310000,Multi-Family,4.47,5514,0.729172177,C,Other,WoodFrame,1965,8,-122.4309273,37.7775252
1413 Bay St,Alameda,94501,6/29/2007,1300000,Multi-Family,5.08,4605,0.556428226,C,Other,Unknown,1962,4,-122.265044,37.771533
322 N Claremont St,San Mateo,94401,5/11/2007,1300000,Multi-Family,4.28,4050,0.505302558,C,Good,Unknown,1960,5,-122.3285,37.57359
1537 Jones St,San Francisco,94109,4/18/2007,1295000,Multi-Family,3.8,3451,2.200892857,C,Other,WoodFrame,1913,7,-122.415347,37.795529
3539 Agate Dr,Santa Clara,95051,1/24/2007,1290000,Multi-Family,4.8,7008,0.498116426,C,Other,WoodFrame,1961,11,-121.9942244,37.3698198
2275 Park Blvd,Oakland,94606,4/16/2007,1260000,Multi-Family,4.52,6543,0.938872148,C,Other,Masonry,1953,10,-122.2456341,37.8019229
631 41st Ave,San Francisco,94121,6/28/2007,1255000,Multi-Family,3.06,3414,1.139519359,C,Other,WoodFrame,1962,5,-122.502115,37.776718
1713 Dwight Way,Berkeley,94703,7/10/2007,1250000,Multi-Family,5,7336,1.086653829,C,Other,WoodFrame,1963,8,-122.276146,37.86314
1510 Bonita Ave,Berkeley,94709,5/1/2007,1225000,Multi-Family,5.1,4506,0.834289946,C,Other,Unknown,1958,8,-122.2729724,37.8790979
4230 Payne Ave,San Jose,95117,1/5/2007,1225000,Multi-Family,4.7,6420,0.58953168,C,Other,ReinforcedConcrete,1963,8,-121.9772812,37.3006718
4260 Payne Ave,San Jose,95117,1/5/2007,1225000,Multi-Family,4.8,3876,0.105930582,C,Other,Masonry,1963,8,-121.977708,37.300643
1950 Ivy St,San Mateo,94403,4/20/2007,1210000,Multi-Family,3.91,4428,0.782055811,C,Other,WoodFrame,1950,6,-122.3097457,37.549005
6446-6452 Colby St,Oakland,94618,3/16/2007,1200000,Multi-Family,5.81,4640,0.714946071,C,Other,WoodFrame,1910,9,-122.256812,37.852664
2651 Contra Costa Blvd,Pleasant Hill,94523,1/11/2007,1200000,Multi-Family,5,6636,0.253902663,B,Good,Unknown,1959,10,-122.061179,37.941331
3151 Eton Ave,Berkeley,94705,1/31/2007,1194000,Multi-Family,4,6260,1.306616573,B,Good,Unknown,1920,5,-122.2500616,37.8526425
19911-19921 Anita Ave,Castro Valley,94546,4/12/2007,1187000,Multi-Family,4.5,10144,0.714366197,C,Other,Masonry,1961,6,-122.0842327,37.7002007
644-648 Natoma St,San Francisco,94103,1/11/2007,1186750,Multi-Family,4.36,6300,1.681793914,C,Other,WoodFrame,1907,6,-122.4111392,37.7776338
3217 Cadillac Dr,San Jose,95117,4/30/2007,1175000,Multi-Family,5,6054,0.661856346,C,Other,Masonry,1958,10,-121.953318,37.297092
1433-1455 Spruce St,Berkeley,94709,2/23/2007,1175000,Multi-Family,5.33,4703,0.696637535,C,Other,WoodFrame,1900,8,-122.2657207,37.8810741
560 Geneva Ave,Redwood City,94061,4/18/2007,1160000,Multi-Family,4.31,4650,0.45045045,C,Other,WoodFrame,1958,8,-122.2255891,37.4713986
1409 5th Ave,San Rafael,94901,9/18/2007,1160000,Multi-Family,4,3500,0.462840518,B,Good,WoodFrame,1888,5,-122.5324026,37.9743965
1618 Milvia St,Berkeley,94709,5/31/2007,1150000,Multi-Family,6.07,4456,0.930077228,C,Other,WoodFrame,1964,5,-122.2717289,37.8773874
313 Lawton St,Antioch,94509,8/29/2007,1150000,Multi-Family,6.5,9084,0.566864275,C,Other,Unknown,1988,11,-121.8107042,38.0012917
2339 Ward St,Berkeley,94705,5/1/2007,1125000,Multi-Family,5.92,4979,0.816497212,C,Other,WoodFrame,1901,8,-122.260088,37.860503
1640 Euclid Ave,Berkeley,94709,6/29/2007,1120000,Multi-Family,4.98,4164,1.195177956,C,Other,Unknown,1926,7,-122.2610271,37.8787528
183 Duboce Ave,San Francisco,94103,5/1/2007,1115500,Multi-Family,7.1,6150,2.567849687,C,Other,WoodFrame,1906,6,-122.4240746,37.7695842
671 Bellflower Ave,Sunnyvale,94086,5/31/2007,1105000,Multi-Family,3.96,3031,0.347910927,C,Other,WoodFrame,1961,6,-122.0205312,37.3663581
605 Bryan Ave,Sunnyvale,94086,7/31/2007,1100000,Multi-Family,4.1,3792,0.435261708,C,Other,WoodFrame,1957,6,-122.0211757,37.3725835
416 Jackson Ave,Redwood City,94061,5/25/2007,1080000,Multi-Family,3.47,3814,0.733320515,C,Other,WoodFrame,1968,4,-122.232419,37.480035
1972 Desert Cir,Walnut Creek,94598,2/16/2007,1075000,Multi-Family,4.01,4048,0.385633991,C,Other,WoodFrame,1967,5,-122.034058,37.919976
2022 Dwight Way,Berkeley,94704,8/22/2007,1070000,Multi-Family,9.8,2724,0.350353698,C,Other,WoodFrame,1906,7,-122.2685736,37.8635539
1149 Roewill Dr,San Jose,95117,5/8/2007,1050000,Multi-Family,5.13,4448,0.537457709,C,Other,WoodFrame,1962,8,-121.9725581,37.3047146
1130 Roewill Dr,San Jose,95117,6/1/2007,1035000,Multi-Family,5.64,6988,0.862503086,C,Other,Masonry,1960,8,-121.972009,37.305368
1839 Joan Way,Santa Clara,95050,8/3/2007,1030000,Multi-Family,6,5332,0.553916476,C,Other,WoodFrame,1959,6,-121.9609188,37.3567814
1077 Eugene Ave,San Jose,95126,6/22/2007,1030000,Multi-Family,5.19,5400,0.619834711,C,Other,WoodFrame,1958,8,-121.9107704,37.3273532
