Property: Property Name,Prop City,Prop County,Last Sale,Last Price,Est. Sale Cap,Units,# 1 Bedrooms,# 2 Bedrooms,# 3 Bedrooms,Square Footage,Year Built,Prop Zip Code
1527-1535 Macarthur Blvd,Oakland,Alameda,5/15/2012,965000,5.64,6,0,1,0,11335,,94602
3025 Park Blvd,Oakland,Alameda,6/16/2015,2415000,5.63,15,14,1,0,7740,1963,94610
3217 Liese Ave,Oakland,Alameda,9/6/2016,1610000,5.63,10,10,0,0,6373,1957,94619
771 9th Ave,San Francisco,San Francisco,10/16/2012,935000,5.63,5,5,0,0,4350,1918,94118
2371 Sutter Ave,Santa Clara,Santa Clara,6/18/2013,2375000,5.62,12,4,6,0,6876,1959,95050
405-449 Riverside Dr,Napa,Napa,2/2/2015,2300000,5.62,17,1,15,0,14035,1965,94559
617 S 9th St,San Jose,Santa Clara,10/30/2015,2770000,5.62,14,14,0,0,5302,1957,95112
451 Lee St,Oakland,Alameda,5/1/2014,4365000,5.61,27,18,3,0,31144,1961,94610
121 Louisiana St,Vallejo,Solano,8/26/2015,1240000,5.61,14,6,8,0,11700,1967,94590
1515 Pine St,Martinez,Contra Costa,9/17/2015,815000,5.6,6,6,0,0,3707,1945,94553
949 Elgin St,San Lorenzo,Alameda,8/22/2013,950000,5.6,7,0,7,0,6300,1965,94580
1131 Bella Vista Avenue,Oakland,Alameda,8/19/2013,810000,5.6,5,2,2,1,4544,1923,94610
523 Stambaugh St,Redwood City,San Mateo,3/1/2016,2350000,5.58,8,6,2,0,6485,1959,94063
40 Hobart Ave,San Mateo,San Mateo,9/28/2012,1760000,5.58,6,3,3,0,5901,1960,94402
2275 Park Blvd,Oakland,Alameda,1/17/2014,1626000,5.58,10,8,2,0,6543,1953,94606
37 Reed Blvd,Mill Valley,Marin,9/24/2013,1720000,5.58,8,8,0,0,4992,,94941
209 Brown St,Vacaville,Solano,5/14/2015,1875000,5.57,21,21,0,0,12940,1964,95688
84 Yosemite Ave,Oakland,Alameda,4/24/2013,1475000,5.57,8,6,0,0,8100,1896,94611
354 S Willard Ave,San Jose,Santa Clara,12/23/2015,1995000,5.57,10,6,2,0,5571,1963,95126
470 California St,Santa Clara,Santa Clara,6/20/2013,1595000,5.57,8,2,6,0,6386,1954,95050
152 Lincoln Ave,Redwood City,San Mateo,5/29/2015,5300000,5.56,18,16,1,0,11500,1963,94061
633 Nordale Ave,San Jose,Santa Clara,5/1/2015,1000000,5.56,5,4,0,1,3490,1962,95112
924 E 20th St,Oakland,Alameda,6/18/2013,979000,5.56,6,1,5,0,5649,1925,94606
1020 S 12th St,San Jose,Santa Clara,6/23/2015,4800000,5.56,24,24,0,0,13200,1963,95112
1904 Sacramento St,Berkeley,Alameda,3/5/2015,1300000,5.54,6,4,1,0,4249,1955,94702
14575 Bancroft Ave,San Leandro,Alameda,6/20/2014,9900000,5.53,72,72,0,0,46800,1967,94578
409 Taylor St,Fairfield,Solano,8/16/2013,720000,5.53,8,0,8,0,7275,1973,94533
225 Richfield Dr,San Jose,Santa Clara,8/12/2016,10100000,5.53,36,36,0,0,28218,1966,95129
555 Via Manzanas,San Lorenzo,Alameda,9/6/2013,1375000,5.53,10,7,3,0,6800,1962,94580
442 Milton Ave,San Bruno,San Mateo,3/4/2015,1485000,5.52,5,2,2,1,4600,1964,94066
24th Street. Lofts,Oakland,Alameda,11/14/2012,985000,5.52,6,1,2,3,12000,1930,94612
1632 Ontario Dr,Sunnyvale,Santa Clara,12/28/2012,1210000,5.51,6,4,2,0,4278,1961,94087
272 Washington St,San Jose,Santa Clara,4/30/2013,1599999,5.51,7,6,1,0,3887,1898,95112
10786 Pippin St,Oakland,Alameda,5/30/2014,825000,5.5,5,0,5,0,3798,1962,94603
662 Mariposa Ave,Mountain View,Santa Clara,1/9/2014,2535000,5.5,9,7,1,0,4918,1959,94041
3756 Lincoln Ct,Fremont,Alameda,6/12/2012,830000,5.5,6,0,4,1,5256,1966,94538
10778 Pippin St,Oakland,Alameda,5/14/2014,825000,5.5,5,0,5,0,3798,1962,94603
8635 Old Redwood Hwy,Windsor,Sonoma,6/9/2014,1248636,5.48,9,0,8,0,7964,1977,95492
2250 Buchanan St,San Francisco,San Francisco,5/12/2015,6700000,5.47,19,6,0,0,9474,1955,94115
1640 7th St,Berkeley,Alameda,9/13/2016,995000,5.47,6,1,5,0,4830,1936,94710
