Property: Property Name,Prop City,Prop County,Last Sale,Last Price,Est. Sale Cap,Units,# 1 Bedrooms,# 2 Bedrooms,# 3 Bedrooms,Square Footage,Year Built,Prop Zip Code
4860 Northlawn Dr,San Jose,Santa Clara,10/29/2013,2710000,4.92,12,1,11,0,10312,1964,95130
10 Mounds Rd,San Mateo,San Mateo,6/6/2012,6000000,4.91,18,0,18,0,37333,1959,94402
1331 Jefferson Ave,Redwood City,San Mateo,4/24/2015,10000000,4.91,30,30,0,0,34300,1963,94062
1008 Woodside Rd,Redwood City,San Mateo,3/29/2016,7675000,4.91,23,9,14,0,27250,1961,94061
1000 South Rd,Belmont,San Mateo,11/30/2012,6999500,4.91,21,8,10,2,28991,1962,94002
400 E Poplar Ave,San Mateo,San Mateo,1/15/2016,2400000,4.91,6,3,3,0,5544,1980,94401
1204 Morgan St,Santa Rosa,Sonoma,11/21/2014,1085000,4.91,7,4,2,0,5700,,95401
748 Carmel Ave,Sunnyvale,Santa Clara,11/4/2013,1360000,4.9,6,3,2,0,3708,1959,94085
1735 Hyde St,San Francisco,San Francisco,11/26/2012,1290000,4.9,6,1,0,0,4732,1916,94109
1987 Colony St,Mountain View,Santa Clara,6/26/2012,1815000,4.9,8,0,7,1,7719,1964,94043
995 Tully Rd,San Jose,Santa Clara,4/30/2015,60000000,4.89,220,68,152,0,244156,1985,95122
1538 Saint Charles St,Alameda,Alameda,7/8/2014,2800000,4.89,18,18,0,0,15378,1925,94501
106 W 5th Ave,San Mateo,San Mateo,9/28/2012,4025000,4.88,12,8,1,1,16575,1950,94402
11 Montell St,Oakland,Alameda,8/3/2012,1115000,4.88,6,6,0,0,4948,1922,94611
730 San Juan Dr,Sunnyvale,Santa Clara,12/11/2013,2280000,4.88,10,8,2,0,6716,1958,94085
118 Euclid Ave,San Leandro,Alameda,1/30/2014,1250000,4.87,8,2,5,1,6629,1966,94577
1070 Foxchase Dr,San Jose,Santa Clara,6/28/2016,150500000,4.87,396,156,240,0,335406,1988,95123
3250 Laguna St,San Francisco,San Francisco,5/5/2015,12284000,4.87,31,29,1,0,27932,1951,94123
1661-1663 Alum Rock Ave,San Jose,Santa Clara,6/30/2014,1600000,4.86,7,7,0,0,11095,1954,95116
245 E Okeefe St,East Palo Alto,San Mateo,2/23/2016,6092500,4.86,22,15,7,0,22593,1963,94303
963-965 E El Camino Real,Sunnyvale,Santa Clara,3/18/2014,77900000,4.85,204,96,108,0,172127,1989,94087
2310-2334 Buena Vista Ave,Walnut Creek,Contra Costa,2/6/2015,2825000,4.85,13,0,11,2,12078,1969,94597
43 Santa Rosa Ave,Pacifica,San Mateo,10/14/2014,1350000,4.85,4,4,0,0,4114,1964,94044
170 Oxford Ln,San Bruno,San Mateo,4/26/2016,1350000,4.85,4,0,4,0,3600,1965,94066
1945 Louisiana St,Vallejo,Solano,8/5/2016,1130000,4.84,11,8,3,0,5750,,94590
1285 Macarthur Blvd,Oakland,Alameda,8/29/2016,1500000,4.84,8,4,1,0,5901,1965,94610
1521 Lago St,San Mateo,San Mateo,4/4/2014,9498000,4.83,28,15,13,0,28533,1965,94403
429 Bellevue Ave,Oakland,Alameda,6/6/2014,2440000,4.83,13,11,2,0,7555,1961,94610
1332 Shattuck Ave,Berkeley,Alameda,7/24/2012,3380000,4.83,18,17,1,0,14298,1924,94709
1445-1455 Kerley Dr,San Jose,Santa Clara,10/31/2014,4600000,4.83,20,12,8,0,12480,1959,95112
190 Adler Ave,Campbell,Santa Clara,4/12/2013,1380000,4.83,6,0,5,1,5896,1965,95008
210 Rose Ct,Campbell,Santa Clara,10/2/2013,2087500,4.83,8,0,7,1,7607,1899,95008
961-963 18th St,Oakland,Alameda,3/7/2014,1129500,4.82,6,0,0,6,6859,1910,94607
2515 Ivy Dr,Oakland,Alameda,6/29/2015,940000,4.82,5,7,1,0,4708,1950,94606
570 Grand Ave,Oakland,Alameda,2/19/2014,2445000,4.82,13,6,5,1,9700,1925,94610
4861 Appian Way,El Sobrante,Contra Costa,6/23/2015,1580000,4.81,10,5,5,0,7345,1963,94803
3136 Cadillac Dr,San Jose,Santa Clara,9/24/2012,1850000,4.81,8,3,5,0,5484,1960,95117
3144 Cadillac Dr,San Jose,Santa Clara,9/24/2012,1850000,4.81,8,3,5,0,5484,1960,95117
425 E 18th St,Oakland,Alameda,9/15/2016,15300000,4.8,81,27,0,0,49865,1972,94606
350 Lafayette Ave,San Leandro,Alameda,11/8/2016,792000,4.8,5,5,0,0,4613,1943,94577
410 E 19th St,Oakland,Alameda,7/2/2015,1700000,4.8,9,3,1,0,7095,1922,94606
539 33rd St,Oakland,Alameda,10/28/2015,1700000,4.8,9,9,0,0,5158,1915,94609
36880 Newark blvd,Newark,Alameda,7/31/2013,951000,4.8,6,0,6,0,4580,1962,94560
421 Perkins St,Oakland,Alameda,8/15/2014,2460000,4.79,13,9,4,0,13206,1970,94610
1 Indigo Dr,Petaluma,Sonoma,6/30/2016,54500000,4.79,147,67,78,2,214029,2007,94954
1525 Broadway,Alameda,Alameda,6/14/2013,900000,4.79,5,2,1,0,3104,1905,94501
2211 Redwood St,Vallejo,Solano,1/29/2016,5300000,4.78,51,25,22,4,42080,1966,94590
2163 Clinton Ave,Alameda,Alameda,1/3/2013,955000,4.78,6,2,0,0,2700,1912,94501
440 Roosevelt Ave,Redwood City,San Mateo,9/29/2015,2400000,4.78,7,4,0,0,4866,1961,94063
35-39 Estabrook St,San Leandro,Alameda,12/2/2014,2070000,4.78,13,10,2,1,9500,1955,94577
305 Grove Way,Hayward,Alameda,5/8/2013,955000,4.78,6,0,5,1,6172,1977,94541
840 El Camino Real,Belmont,San Mateo,4/10/2015,4800000,4.78,14,3,5,0,10148,1964,94002
6387 Dana St,Oakland,Alameda,6/7/2013,1140000,4.77,6,6,0,0,3792,1959,94609
3146 Coolidge Ave,Oakland,Alameda,2/5/2016,950000,4.77,5,0,0,5,5080,1976,94602
4000 S El Camino Real,San Mateo,San Mateo,12/30/2016,46500000,4.76,135,93,42,0,111495,1955,94403
200 Davey Glen Rd,Belmont,San Mateo,3/28/2014,23750000,4.76,69,14,42,3,109110,1962,94002
305 Vernon St,Oakland,Alameda,8/3/2012,1142500,4.76,6,8,1,0,4028,1912,94610
128 Hobart Ave,San Mateo,San Mateo,1/31/2013,2070000,4.75,6,3,2,1,5839,1962,94402
900 E Hillsdale Blvd,Foster City,San Mateo,7/30/2013,138000000,4.75,400,259,117,0,395010,1972,94404
22744 7th St,Hayward,Alameda,3/21/2013,800000,4.75,5,2,1,2,4084,1940,94541
15600 Via Granada,San Lorenzo,Alameda,3/6/2015,960000,4.75,6,0,6,0,4500,1960,94580
2524 Camara Cir,Concord,Contra Costa,5/15/2015,1280000,4.75,8,0,8,0,6000,1963,94520
7191 Eigleberry St,Gilroy,Santa Clara,3/16/2015,1625000,4.75,8,2,6,0,6992,1949,95020
524 Buena Vista Ave,Alameda,Alameda,12/2/2013,1605000,4.74,10,0,10,0,7592,1961,94501
1441 Detroit Ave,Concord,Contra Costa,6/10/2015,35000000,4.74,218,65,141,12,342945,1968,94520
2335 Warring St,Berkeley,Alameda,11/10/2015,2600000,4.74,12,12,0,0,5974,1905,94704
1410 Millbrae Ave,Millbrae,San Mateo,10/16/2013,9350000,4.73,27,0,27,0,31020,1962,94030
22 E 20th Ave,San Mateo,San Mateo,7/31/2015,4850000,4.73,14,14,0,0,13862,1972,94403
2421 7Th Avenue,Oakland,Alameda,8/16/2013,1150000,4.73,6,2,2,1,6242,1948,94606
3850 18th St,San Francisco,San Francisco,10/12/2016,23872000,4.72,107,19,0,0,70000,1971,94114
4612 Campbell Ave,San Jose,Santa Clara,8/5/2016,1650000,4.72,7,6,0,1,5484,1962,95130
1145 Village Dr,Belmont,San Mateo,12/20/2013,2780000,4.71,8,0,6,2,9762,1960,94002
1055 Montebello Dr,Gilroy,Santa Clara,2/19/2016,17200000,4.71,70,70,0,0,52914,1978,95020
1819 Blake St,Berkeley,Alameda,3/31/2015,962000,4.71,5,4,1,0,2480,1960,94703
628 Forest Ave,Palo Alto,Santa Clara,9/6/2012,3175000,4.71,7,0,6,1,8430,1959,94301
1955 Jefferson St,San Francisco,San Francisco,9/29/2014,3700000,4.7,9,3,0,0,5898,1927,94123
457 Acalanes Dr,Sunnyvale,Santa Clara,4/20/2015,10100000,4.7,28,14,14,0,31038,1962,94086
515 Boynton Ave,San Jose,Santa Clara,8/1/2014,7105000,4.69,30,20,10,0,21012,1970,95117
2511 7th Ave,Oakland,Alameda,5/28/2015,967500,4.69,5,0,5,0,4265,1962,94606
1 Newell Ct,East Palo Alto,San Mateo,2/23/2016,63519500,4.68,221,65,90,25,187710,,94303
1129 Capuchino Ave,Burlingame,San Mateo,5/14/2013,2100000,4.68,6,1,4,1,5370,1970,94010
260 San Marco Ave,San Bruno,San Mateo,5/27/2015,2100000,4.68,6,0,6,0,6252,1961,94066
525 Walnut St,San Carlos,San Mateo,6/20/2016,4200000,4.68,12,8,4,0,10468,1964,94070
222-226 Hemlock Ave,Redwood City,San Mateo,6/30/2015,1750000,4.68,5,1,4,0,3290,1920,94061
20188 Wisteria St,Castro Valley,Alameda,12/31/2013,1791000,4.67,11,2,9,0,9150,1963,94546
489 Willow Ave,Hayward,Alameda,10/16/2013,815000,4.67,5,0,4,1,5140,1968,94541
481-489 Willow Ave,Hayward,Alameda,10/10/2013,815000,4.67,5,0,4,1,5140,1976,94541
650 Alcatraz Ave,Oakland,Alameda,11/13/2014,1750000,4.66,9,9,0,0,5080,,94609
1632 Russell St,Berkeley,Alameda,5/27/2016,975000,4.65,5,3,2,0,2768,1960,94703
33 Echo Ave,Oakland,Alameda,4/5/2013,975000,4.65,5,4,1,0,13752,1908,94611
1026 Linden St,Oakland,Alameda,4/4/2014,780000,4.65,4,2,2,0,3357,,94607
1906 Queens Road,Concord,Contra Costa,12/30/2014,1634000,4.65,10,3,9,0,8927,1967,94519
19119 Meekland Ave,Hayward,Alameda,7/13/2015,820000,4.64,5,2,2,1,3650,1945,94541
3761 High St,Oakland,Alameda,12/16/2014,10550000,4.64,54,16,37,1,50810,1963,94619
Huntington Arms Apartments,Concord,Contra Costa,1/15/2016,5250000,4.64,32,16,16,0,26093,1965,94520
1422 Bellevue Ave,Burlingame,San Mateo,7/30/2012,9200000,4.63,26,15,11,0,37670,1929,94010
1425 Harrison St,Oakland,Alameda,12/20/2016,15800000,4.63,61,32,4,1,47875,1917,94612
18 Hayward Ave,San Mateo,San Mateo,8/14/2014,3900000,4.62,11,7,3,0,10264,1962,94401
1445 Loeffler Ln - Dave Hill Apts,Concord,Contra Costa,1/15/2016,987000,4.62,6,0,6,0,4980,1961,94521
1670 El Camino Real,Menlo Park,San Mateo,12/31/2015,27333500,4.61,77,50,27,0,91713,1964,94025
315 Piper St,Healdsburg,Sonoma,9/21/2012,1375000,4.61,5,1,4,0,4000,1988,95448
373 Staten Ave,Oakland,Alameda,10/29/2013,2562500,4.6,13,10,3,0,12889,1967,94610
3190 Homestead Rd,Santa Clara,Santa Clara,2/12/2013,1450000,4.6,6,4,0,1,4585,1964,95051
373 Staten Avenue,Oakland,Alameda,10/29/2013,2562500,4.6,13,10,3,0,12889,1967,94610
21701 Foothill Boulevard,Hayward,Alameda,9/25/2014,32200000,4.59,162,76,49,37,122359,1983,94541
2809 8th Ave,Oakland,Alameda,2/11/2016,2175000,4.59,11,4,0,0,7002,1928,94610
601 5th St,Vallejo,Solano,10/8/2013,650000,4.59,6,0,6,0,6019,,94590
1590 Sacramento St,San Francisco,San Francisco,10/23/2012,9875000,4.59,43,22,21,0,25460,1911,94109
690 Vine St,San Jose,Santa Clara,11/3/2015,1695000,4.59,7,2,5,0,4656,1957,95110
1118-1130 Starbird Cir,San Jose,Santa Clara,12/16/2015,16250000,4.58,67,20,46,1,79692,1972,95117
230 N 13th St,San Jose,Santa Clara,6/30/2015,1700000,4.58,7,4,3,0,4400,1974,95112
21631-21727 Garden Ave,Hayward,Alameda,11/26/2013,5155000,4.57,31,1,26,4,57440,1965,94541
1127 Virginia Ln,Concord,Contra Costa,5/12/2014,1330000,4.57,8,0,8,0,6305,1966,94520
257 Willow Ave,Hayward,Alameda,10/29/2014,1165000,4.57,7,1,5,1,5429,1948,94541
274-278 W California Ave,,Santa Clara,12/10/2015,2225000,4.57,6,3,2,0,5025,,
1129 Willow Rd,Menlo Park,San Mateo,11/24/2014,1798000,4.56,5,5,0,0,3250,1951,94025
195 E Bellevue Ave,San Mateo,San Mateo,5/31/2013,1795000,4.56,5,4,0,1,4554,1912,94401
251 San Anselmo Ave S,San Bruno,San Mateo,10/14/2015,3948000,4.56,11,4,5,0,9580,1972,94066
1671 Haller Ct,Concord,Contra Costa,10/4/2016,1000000,4.56,6,0,6,0,4176,1960,94520
20224-20228 Forest Ave,Castro Valley,Alameda,7/11/2013,1500000,4.56,9,0,8,1,11833,1960,94546
394 12th St,Oakland,Alameda,2/10/2017,26282159,4.56,100,100,0,0,72336,1972,94607
1660 Gordon St,Redwood City,San Mateo,12/15/2015,14760000,4.55,41,32,4,0,34662,1963,94061
1131 Laguna Ave,Burlingame,San Mateo,8/16/2013,1800000,4.55,5,4,0,1,6808,1964,94010
1720 Wright Ave,Mountain View,Santa Clara,11/6/2012,2200000,4.55,9,8,1,0,8988,1969,94043
807-811 Alvarado St,San Francisco,San Francisco,10/9/2013,1575000,4.55,6,3,1,0,2100,1900,94114
1170 Meadow Ln,Concord,Contra Costa,1/21/2015,1675000,4.54,10,0,10,0,16117,1965,94520
298 W Chanslor Ave,Richmond,Contra Costa,1/20/2015,10300000,4.54,100,6,62,32,75000,1940,94801
3701 Maybelle,Oakland,Alameda,7/18/2014,1600000,4.53,8,0,6,2,9305,1967,94619
2425 Ivy Dr,Oakland,Alameda,8/28/2014,1000000,4.53,5,3,2,0,4515,1953,94606
3707 Poinciana Dr,Santa Clara,Santa Clara,8/31/2012,38250000,4.53,156,40,116,0,127440,1972,95051
421 Van Dyke Ave,Oakland,Alameda,3/2/2015,3600000,4.53,18,18,0,0,12413,1930,94606
540 31st St,Oakland,Alameda,7/27/2015,1135000,4.53,5,1,1,3,4542,1903,94609
1800 22nd Ave,San Francisco,San Francisco,10/9/2012,2790000,4.53,12,6,3,0,11808,1977,94122
1610-1650 Amador St,San Pablo,Contra Costa,5/26/2015,2188000,4.52,13,2,11,0,16332,1962,94806
1431 Monument Blvd,Concord,Contra Costa,8/19/2016,8100000,4.51,48,47,1,0,25240,1962,94520
7036 Macarthur Blvd,Oakland,Alameda,10/22/2013,5825000,4.51,29,26,2,0,16642,1963,94605
707 Jerrold Ave,San Francisco,San Francisco,11/13/2015,52500000,4.51,225,4,60,116,225000,1957,94124
841 Robinson St,Martinez,Contra Costa,3/18/2015,675000,4.51,4,1,2,3,3434,1962,94553
975 Boynton Ave,San Jose,Santa Clara,6/26/2015,11835000,4.51,48,16,32,0,45880,1974,95117
2343 University Ave,East Palo Alto,Santa Clara,6/27/2014,910000,4.5,5,3,2,0,4560,1962,94303
301-321 Oxford Way,Belmont,San Mateo,7/1/2015,23650000,4.5,65,65,0,0,51700,1964,94002
3206 Impala Dr,San Jose,Santa Clara,8/14/2015,2965000,4.5,12,8,4,0,7334,1959,95117
977-985 Laurel St,San Carlos,San Mateo,1/18/2017,2550000,4.5,7,1,0,0,2800,1972,94070
3101 Gough St,San Francisco,San Francisco,10/21/2014,8600000,4.49,20,4,0,0,13125,1925,94123
1239 Liberty St,El Cerrito,Contra Costa,10/20/2014,4400000,4.49,26,10,13,0,20004,1973,94530
1123-1125 Kearny St,San Francisco,San Francisco,10/11/2012,1330000,4.49,5,4,1,0,2835,1907,94133
321 W Estudillo Ave,San Leandro,Alameda,5/12/2015,3280000,4.49,14,6,4,0,4542,1959,94577
4120 Howe St,Oakland,Alameda,11/19/2014,2225000,4.48,11,10,0,0,5657,1920,94611
440 Poplar Ave,Redwood City,San Mateo,12/18/2015,12450000,4.47,34,28,6,0,25000,1958,94061
3101 Cuthbertson Ct,Richmond,Contra Costa,2/28/2014,628000,4.47,6,0,5,1,5016,1963,94806
222 Price St,Daly City,San Mateo,1/14/2016,1100000,4.47,3,2,0,1,2338,1976,94014
748 Sunset Blvd,Hayward,Alameda,12/10/2013,850000,4.47,5,4,2,1,3950,1923,94541
3435 Laguna Ave,Oakland,Alameda,11/30/2016,1015000,4.47,5,4,1,0,3190,1963,94602
456 Studio Cir,San Mateo,San Mateo,2/26/2016,2200000,4.47,6,3,3,0,4110,1959,94401
775 Kingston Ave,Oakland,Alameda,11/10/2015,3050000,4.46,15,9,3,0,12000,1959,94611
945 Shotwell St,San Francisco,San Francisco,11/8/2013,1810000,4.46,6,2,4,0,5104,,94110
135 Rose Ct,Campbell,Santa Clara,5/24/2013,2250000,4.45,9,3,5,1,7816,1975,95008
21-33 Lodato Ave,San Mateo,San Mateo,1/30/2015,8845000,4.44,24,17,6,1,26593,1962,94403
14-22 Magnolia Ave,South San Francisco,San Mateo,1/29/2016,1850000,4.43,5,3,2,0,5878,1958,94080
1150 Pedro St,San Jose,Santa Clara,8/17/2016,15360000,4.43,51,30,7,0,34800,1983,95126
1610 62nd St,Berkeley,Alameda,7/31/2013,1230000,4.42,6,2,3,1,4327,,94703
490 Estudillo Ave,San Leandro,Alameda,12/17/2014,3100000,4.42,18,18,0,0,11100,1964,94577
250-264 Blossom Way,Hayward,Alameda,6/30/2015,2065000,4.42,12,4,3,2,9135,1950,94541
991-997 Ravenscourt Ave,San Jose,Santa Clara,9/8/2016,5612000,4.42,16,0,16,0,13312,1962,95128
521 Laurel Ave,Hayward,Alameda,10/1/2015,1550000,4.42,9,0,7,1,6607,1958,94541
119 Dartmouth Rd,San Mateo,San Mateo,12/28/2012,2600000,4.41,7,5,2,0,8039,1940,94402
516 Buena Vista Ave,Alameda,Alameda,11/20/2013,1725000,4.41,10,0,10,0,7592,1960,94501
416 Staten Ave,Oakland,Alameda,1/15/2014,1232891,4.41,6,4,2,0,4602,1925,94610
460 Wisnom Ave,San Mateo,San Mateo,11/21/2014,1487000,4.41,4,4,0,0,3098,1908,94401
954 Palm Ave,San Mateo,San Mateo,5/15/2013,1860000,4.4,5,0,5,0,5419,1963,94401
658 Cherry Way,Hayward,Alameda,12/15/2016,3455000,4.4,20,19,0,1,12714,1959,94541
370 Bartlett Ave,Hayward,Alameda,6/8/2016,2500000,4.38,12,0,6,6,11848,1985,94541
27436 Manon,Hayward,Alameda,4/30/2015,3134000,4.37,18,0,18,0,15840,1962,94544
1610 Park Ave,San Jose,Santa Clara,6/16/2014,1525000,4.37,5,0,4,0,5564,1980,95126
825 S San Tomas Aquino Rd,Campbell,Santa Clara,12/5/2013,25500000,4.36,100,0,58,30,99550,1972,95008
3900 Cerrito Ave,Oakland,Alameda,4/25/2013,1250000,4.35,6,0,2,0,4428,1925,94611
101 Glen Eyrie Ave,San Jose,Santa Clara,12/6/2013,7670000,4.35,30,21,9,0,23832,1966,95125
1847 8th Ave,Oakland,Alameda,8/31/2016,946000,4.35,4,0,3,1,3071,1895,94606
1308 Carlson Blvd,Richmond,Contra Costa,9/19/2014,860000,4.35,8,7,0,1,5002,1964,94804
179 Haas Ave,San Leandro,Alameda,3/12/2015,3495000,4.35,20,0,20,0,16157,1965,94577
6391-6397 Dana St,Oakland,Alameda,7/31/2015,2500000,4.35,12,8,0,0,7157,1924,94609
30 Central Dr.,Mill Valley,Marin,2/6/2015,3318000,4.34,12,8,4,0,9325,1964,94941
25401 Cypress Ave,Hayward,Alameda,6/4/2015,6310000,4.34,36,18,18,0,24030,1965,94544
155 Monroe St,Santa Clara,Santa Clara,2/2/2015,2050000,4.34,8,4,1,0,96275,1960,95050
3727 Peacock Ct,Santa Clara,Santa Clara,7/31/2013,2050000,4.34,8,3,4,1,6580,1973,95051
2006 Klamath Ave,Santa Clara,Santa Clara,9/30/2013,2050000,4.34,8,1,6,1,8454,1970,95051
726 S 10th St,San Jose,Santa Clara,6/17/2015,1795000,4.33,7,2,5,0,3934,1964,95112
542 25th St,Oakland,Alameda,5/26/2016,7950000,4.33,38,37,1,0,26282,1910,94612
68 Vernon St,Oakland,Alameda,6/29/2012,2100000,4.32,10,4,6,0,10098,1951,94610
80 Lausanne Ave,Daly City,San Mateo,2/3/2016,1138000,4.32,3,2,0,1,3058,1965,94014
220 Palo Alto Ave,Palo Alto,Santa Clara,3/22/2017,9902000,4.31,20,12,8,0,20560,1962,94301
14850 Oka Rd,Los Gatos,Santa Clara,5/15/2012,12375000,4.31,48,0,39,9,48368,1963,95032
1844 Park Ave,San Jose,Santa Clara,4/2/2014,3100000,4.3,12,1,10,1,10650,1963,95126
561 S 7th St,San Jose,Santa Clara,6/12/2015,1550000,4.3,6,1,5,0,4480,1950,95112
1536 Oxford St,Redwood City,San Mateo,5/10/2016,8400000,4.29,22,8,13,1,22698,1961,94061
2400 Skyline Blvd,Pacifica,San Mateo,8/26/2015,16800000,4.29,44,0,44,0,57271,1964,94044
1718 S Grant St,San Mateo,San Mateo,9/20/2016,1915100,4.28,5,4,1,0,5426,1958,94402
710 N 23rd St,San Jose,Santa Clara,6/30/2014,6500000,4.28,25,1,0,24,24491,1962,95112
1821-1823 Oak St,San Francisco,San Francisco,7/20/2012,1395000,4.28,5,2,3,0,2688,1900,94117
220 E 15th St,Oakland,Alameda,7/12/2013,5100000,4.27,24,20,0,0,12096,1955,94606
Oakmont West Apartments,Walnut Creek,Contra Costa,6/4/2012,10700000,4.26,60,29,29,0,27650,1972,94595
700 Calhoun St,Albany,Alameda,11/18/2014,3650000,4.25,17,4,13,0,16056,1979,94706
2102 Bush St,San Francisco,San Francisco,10/31/2012,2576500,4.25,5,6,0,0,4080,1900,94115
223 Lincoln Ave,Redwood City,San Mateo,8/23/2016,2325000,4.23,6,0,6,0,6868,1960,94061
2030 Dwight Way,Berkeley,Alameda,7/31/2014,2575000,4.23,12,12,0,0,7278,,94704
1493-1501 166th Ave,San Leandro,Alameda,2/13/2015,900000,4.23,5,1,3,1,3352,1950,94578
3415-3421 68th Ave,Oakland,Alameda,6/16/2016,1800000,4.23,7,0,0,8,6329,1987,94605
1282-1286 Mattox Road,Hayward,Alameda,12/22/2014,10250000,4.23,57,44,13,0,36214,1962,94541
52-56 Rausch St,San Francisco,San Francisco,12/13/2013,4650000,4.23,8,3,4,1,7426,2006,94103
599 S 10th St,San Jose,Santa Clara,8/29/2014,4200000,4.23,16,0,16,0,15862,1963,95112
7140-7162 Healdsburg Ave,Sebastopol,Sonoma,4/9/2013,900000,4.23,5,1,2,1,4874,1930,95472
4250 Piedmont Ave,Oakland,Alameda,12/16/2014,4083000,4.22,19,6,8,0,16900,1920,94611
375 Saratoga Ave,Santa Clara,Santa Clara,3/11/2014,3425000,4.22,13,13,0,0,7788,1957,95050
407 Eastman Ln,Petaluma,Sonoma,12/17/2015,1800500,4.22,10,3,6,0,7192,1946,94952
739 N Amphlett Blvd,San Mateo,San Mateo,7/12/2013,2335000,4.21,6,5,1,0,4586,1958,94401
735 N Amphlett Blvd,San Mateo,San Mateo,7/12/2013,2335000,4.21,6,5,1,0,4586,1958,94401
330 Ventura Ave,Palo Alto,Santa Clara,6/9/2015,7600000,4.21,15,13,2,0,7602,1957,94306
27033 Belvedere Ct,Hayward,Alameda,7/22/2016,3250000,4.21,18,0,18,0,15732,1964,94544
5341 Miles Ave,Oakland,Alameda,3/31/2014,1721000,4.21,8,6,2,0,5811,,94618
444 Ventura Ave,Palo Alto,Santa Clara,8/10/2015,8650000,4.2,17,13,1,0,9950,1954,94306
1103 Oak St,Alameda,Alameda,3/18/2014,820000,4.2,4,4,0,0,3104,1905,94501
1428 Jackson St,Oakland,Alameda,5/4/2016,5185000,4.2,24,11,0,0,15534,1922,94612
22 Belle Ave,San Anselmo,Marin,2/25/2014,2000000,4.2,7,3,3,0,5400,1970,94960
2807 Harrison St,Oakland,Alameda,8/1/2013,865000,4.19,4,4,0,0,3190,1926,94611
13495 Bancroft Ave,San Leandro,Alameda,4/1/2016,16900000,4.19,93,60,31,0,65471,1963,94578
2015 Sacramento St,San Francisco,San Francisco,3/27/2013,3130000,4.19,11,2,0,0,6090,1900,94109
103-109 Dartmouth Rd,San Mateo,San Mateo,5/31/2013,4300000,4.19,11,0,8,0,18620,1937,94402
18 Washington Ave,Richmond,Contra Costa,1/29/2014,1396500,4.18,11,1,0,0,5650,1904,94801
619 S 33rd St,Richmond,Contra Costa,10/30/2015,1120000,4.18,10,0,10,0,7052,1959,94804
7595 Amador Valley Blvd,Dublin,Alameda,8/28/2012,1460000,4.17,8,8,0,0,6633,1964,94568
490 Page St,San Jose,Santa Clara,9/13/2016,2400000,4.17,9,4,5,0,4632,1955,95126
313 Camelback Rd,Pleasant Hill,Contra Costa,3/28/2014,1462000,4.16,8,4,4,0,5808,1971,94523
315 Beemer Ave,Sunnyvale,Santa Clara,4/1/2015,2858000,4.16,7,1,0,1,2810,1962,94086
1642 Clayton Rd,Concord,Contra Costa,12/12/2014,1465000,4.15,8,1,7,0,5728,,94520
2227 Bonar St,Berkeley,Alameda,7/15/2015,1749000,4.15,8,0,6,2,9028,1960,94702
475-485 E William St,San Jose,Santa Clara,8/15/2016,4288000,4.15,16,16,0,0,8260,1951,95112
251 Lincoln Ave,Redwood City,San Mateo,9/3/2014,1578000,4.15,4,1,0,2,4754,1964,94061
405 Stierlin Rd,Mountain View,Santa Clara,9/30/2014,15041000,4.14,56,46,10,0,40014,1968,94043
160-180 Locksunart Way,Sunnyvale,Santa Clara,3/13/2014,22600000,4.13,84,66,18,0,110478,1962,94087
491 Mandana Blvd,Oakland,Alameda,5/20/2014,1537000,4.13,7,6,1,0,4311,1915,94610
547 Cedar St,San Carlos,San Mateo,5/15/2014,8750000,4.12,22,20,2,0,19284,1959,94070
6327 Baine Ave,Newark,Alameda,6/6/2014,1475000,4.12,8,0,8,0,5748,1965,94560
2122 Mcgee Ave,Berkeley,Alameda,4/13/2015,1100000,4.12,5,4,1,0,3931,1909,94703
Cinnamon Apartments,Hayward,Alameda,12/24/2015,6650000,4.12,30,9,21,0,23754,1987,94541
277 Shipley St,San Francisco,San Francisco,5/23/2014,1450000,4.12,5,4,1,0,2580,1906,94107
154 Poplar Ave,Redwood City,San Mateo,6/8/2016,1995000,4.11,5,2,3,0,5050,1964,94061
422 Taylor Ave,Alameda,Alameda,2/7/2014,925000,4.11,5,0,5,0,3830,,94501
20-47 Matthew Cir,Windsor,Sonoma,6/24/2016,7100000,4.11,32,12,20,0,27000,1982,95492
6541 Moeser Ln,El Cerrito,Contra Costa,2/28/2014,1112000,4.1,6,2,2,2,5015,,94530
1918 Lakeshore Ave,Oakland,Alameda,6/20/2014,8400000,4.1,38,22,1,0,32618,1926,94606
323 Torino Dr,San Carlos,San Mateo,5/30/2014,4000000,4.1,10,10,0,0,12132,1962,94070
1029-1061 Meridian Ave,San Jose,Santa Clara,8/13/2013,22910000,4.08,84,22,62,0,71220,1964,95125
200-204 Frisbie St,Oakland,Alameda,3/20/2015,888000,4.08,4,4,0,0,2780,1923,94611
2136 Main St,Santa Clara,Santa Clara,5/27/2016,1634000,4.08,6,5,1,0,3784,1963,95050
542 Laurel St,Redwood City,San Mateo,8/25/2015,802000,4.08,2,1,0,0,4556,1949,94063
50 Frey Pl,Vallejo,Solano,2/1/2016,1465000,4.07,12,12,0,0,9876,1965,94590
688 Grove Way,Hayward,Alameda,4/8/2015,935000,4.07,5,0,3,2,5200,1950,94541
18750 Meekland Ave,Hayward,Alameda,8/31/2015,935000,4.07,5,0,4,1,4258,1949,94541
775 Geary St,San Francisco,San Francisco,7/24/2014,9340000,4.06,36,22,2,0,30660,1923,94109
