"Property: ID","Property: Property Name","City","Zip Code","Prop Sale GRM","Square Footage","Last Price"
"a0F1a000000pEZx","6400 Moeser Ln","El Cerrito","94530","13.89","4628","1150000.00"
"a0F1a000000pEa1","7036 Macarthur Blvd","Oakland","94605","6.96","16642","5825000.00"
"a0F1a000000pK8h","103 Virginia Hills Dr","Martinez","94553","17.19","3668","860000.00"
"a0F1a000000pK8j","4094 La Colina Rd","El Sobrante","94803","12.10","2614","789000.00"
"a0F1a000000pGMs","Park Plaza Apartments","Albany","94706","8.49","29157","1932000.00"
"a0F1a000000pGMt","1509 Hearst Ave","Berkeley","94703","12.31","13140","2630000.00"
"a0F1a000000pGMv","2325 Mckinley Ave","Berkeley","94703","9.27","23644","2300000.00"
"a0F1a000000pGMw","2501 Benvenue Ave","Berkeley","94704","10.85","21310","4082000.00"
"a0F1a000000pEWO","265 Vernon St","Oakland","94610","8.20","27629","8070000.00"
"a0F1a000000pGL5","1525 Solano Ave","Berkeley","94707","5.89","11552","700000.00"
"a0F1a000000pGL8","2515 Benvenue Ave","Berkeley","94704","9.89","25394","5155000.00"
"a0F1a000000pGL9","2326-2334 Browning St","Berkeley","94702","5.25","7090","462000.00"
"a0F1a000000pGMz","2020 Channing Way","Berkeley","94704","6.36","22572","1190000.00"
"a0F1a000000pGN1","2330 Haste St","Berkeley","94704","9.08","17721","1775000.00"
"a0F1a000000pEWT","221 Grove Ave","Richmond","94801","8.05","5200","950000.00"
"a0F1a000000pEc2","159 17th St","Oakland","94612","8.88","14962","2315000.00"
"a0F1a000000pGN8","1524 Milvia St","Berkeley","94709","8.47","8372","2050000.00"
"a0F1a000000pEWd","325 Euclid Ave","Oakland","94610","12.33","11568","1785000.00"
"a0F1a000000pAZE","3755 Fillmore St","San Francisco","94123","12.06","8871","3170000.00"
"a0F1a000000pGLQ","New Brighton Place","Albany","94706","6.28","44226","3550000.00"
"a0F1a000000pGND","1942 Channing Way","Berkeley","94704","6.00","15597","1000000.00"
"a0F1a000000pEWg","508 Valle Vista Ave","Oakland","94610","14.50","3456","850000.00"
"a0F1a000000pEaP","1528 Alice St","Oakland","94612","7.80","9721","1750000.00"
"a0F1a000000pLpI","7020 Redwood Blvd","Novato","94945","10.00","10133","1900000.00"
"a0F1a000000pGLR","Florentine Apartments","Berkeley","94704","12.24","11160","1675000.00"
"a0F1a000000pGLS","2252 Parker St","Berkeley","94704","12.50","10449","2000000.00"
"a0F1a000000pGLT","2534 Benvenue Ave","Berkeley","94704","9.16","12594","2750000.00"
"a0F1a000000pGLW","2521 Piedmont Ave","Berkeley","94704","11.85","9288","2945000.00"
"a0F1a000000pGNJ","2437 Piedmont Ave","Berkeley","94704","8.66","28492","2100000.00"
"a0F1a000000pGNK","2705 Ridge Rd","Berkeley","94709","9.38","7020","1525000.00"
"a0F1a000000pGNO","2535 Regent St","Berkeley","94704","12.90","8280","2100000.00"
"a0F1a000000pAHo","1125 Broadway","San Francisco","94109","11.97","9291","2946000.00"
"a0F1a000000pEWr","276 Lee St","Oakland","94610","8.38","10968","1600000.00"
"a0F1a000000pLpK","1020 3rd St","Novato","94945","14.00","7497","2925000.00"
"a0F1a000000pLpN","1 Shelley Dr","Mill Valley","94941","14.00","4566","1635000.00"
"a0F1a000000pLpO","300 Poplar St","Mill Valley","94941","14.00","7000","2125000.00"
"a0F1a000000pLpP","1308 Leafwood Dr","Novato","94947","12.00","8400","1930000.00"
"a0F1a000000pLpQ","944 Sir Francis Drake Blvd","Kentfield","94904","15.00","7700","3050000.00"
"a0F1a000000pGLZ","2540 Benvenue Ave","Berkeley","94704","7.00","15912","1064500.00"
"a0F1a000000pGNX","1734 Blake St","Berkeley","94703","8.15","11862","915000.00"
"a0F1a000000pLpZ","2847 Lomitas Ave","Santa Rosa","95404","14.00","3000","975000.00"
