Address,Type,SaleDate,SalePrice,GRM,Cap,PricePerSF,PricePerUnit,BldgSF,NumberOfUnits,Age,BuildingCondition,BuildingClass,BuildingMaterials,Latitude,Longitude,1Bedrooms,2Bedrooms,3Bedrooms,Floors,ZipCode,Rating,Vacancy,Zoning,SaleCondition,YearBuilt
1271 Lakeview Cir,Multi-Family,3/14/2003,13750000,7.57,7.2,130.16,104167,105638,132,28,Good,B,,38.008957,-121.858416,48,68,16,2,94565,3 Star,0,C-1,1031 Exchange,1989
110 Dias Cir,Multi-Family,4/20/2011,10500000,,6.7,86.57,82677,121284,137,28,Good,B,Reinforced Concrete,38.009134,-121.873469,48,66,23,2,94565,4 Star,0,RM,Short Sale,1989
1271 Lakeview Cir,Multi-Family,11/24/1999,9750000,7.61,8.73,92.3,73864,105638,132,28,Good,B,,38.008957,-121.858416,48,68,16,2,94565,3 Star,0,C-1,1031 Exchange,1989
37057 Magnolia St,Multi-Family,10/31/2014,23500000,,4.75,304.85,244792,77088,96,30,Good,C,Masonry,37.52955,-122.03569,48,48,0,3,94560,3 Star,0,N/Av,,1987
37057 Magnolia St,Multi-Family,9/20/2006,13740000,,5.25,178.24,143125,77088,96,30,Good,C,Masonry,37.52955,-122.03569,48,48,0,3,94560,3 Star,0,N/Av,1031 Exchange,1987
651 Addison St (Part of Portfolio),Multi-Family,2/27/2013,,,,,,136916,94,3,Good,A,Reinforced Concrete,37.866354,-122.301011,47,47,0,5,94710,4 Star,1.1,0,Bulk/Portfolio Sale,2014
2032-2040 E 30th St,Multi-Family,1/10/2000,2040000,6.18,8.25,33.58,42500,60748,48,58,Good,C,Masonry,37.7975805,-122.2277744,47,1,0,2,94606,2 Star,0,R70,,1959
1431 Monument Blvd,Multi-Family,10/31/2001,3825000,7.05,7.89,151.55,79688,25240,48,55,Good,C,Wood Frame,37.952512,-122.046077,47,1,0,2,94520,2 Star,0,M-1,,1962
24661-24667 Amador St,Multi-Family,9/28/2016,14268000,,4.86,267.13,209824,53412,68,55,Good,C,Wood Frame,37.65476,-122.091621,47,21,0,2,94544,2 Star,0,CN,1031 Exchange,1962
1115 Virginia Ln,Multi-Family,8/1/2002,3600000,7.88,7.08,88.08,72000,40874,50,52,Good,C,Masonry,37.95525,-122.042197,46,4,0,2,94520,2 Star,0,M1,1031 Exchange,1965
2494 Grove Way,Multi-Family,4/29/2005,4475000,10.21,5.51,92.04,97283,48620,46,61,Good,C,Masonry,37.685874,-122.071647,46,0,0,2,94546,2 Star,0,0,,1956
2494 Grove Way,Multi-Family,5/20/2003,3950000,8.67,7.12,81.24,85870,48620,46,61,Good,C,Masonry,37.685874,-122.071647,46,0,0,2,94546,2 Star,0,0,,1956
2494 Grove Way,Multi-Family,11/12/1999,2600000,6.98,8.55,53.48,56522,48620,46,61,Good,C,Masonry,37.685874,-122.071647,46,0,0,2,94546,2 Star,0,0,1031 Exchange,1956
3116 38th Ave,Multi-Family,7/13/2000,1500000,5.12,12.08,34.94,32609,42932,46,83,Good,C,Masonry,37.787398,-122.202509,46,0,0,3,94619,2 Star,0,R-50,1031 Exchange,1934
6401 Shellmound St (Part of Portfolio),Multi-Family,2/27/2013,,,,,,362530,261,28,Good,B,,37.8453639,-122.29469,45,45,75,5,94608,4 Star,3.07,0,Bulk/Portfolio Sale,1989
1201 S Main St,Multi-Family,12/18/2015,102000000,,4.3,520.41,510000,196000,200,2,Good,A,Wood Frame,37.412546,-121.902392,45,125,0,4,95035,4 Star,0,R1,,2015
1282-1286 Mattox Rd,Multi-Family,12/22/2014,10250000,11.75,5.01,283.04,179825,36214,57,50,Good,C,Wood Frame,37.687303,-122.098382,44,13,0,2,94541,2 Star,0,Commercial,1031 Exchange,1967
1282-1286 Mattox Rd,Multi-Family,12/21/2012,6500000,9.52,6.78,179.49,114035,36214,57,50,Good,C,Wood Frame,37.687303,-122.098382,44,13,0,2,94541,2 Star,0,Commercial,,1967
2966 Moorpark Ave,Multi-Family,12/1/2006,9500000,,,180.61,139706,52600,68,47,Good,B,Wood Frame,37.314264,-121.9466118,44,20,0,2,95128,3 Star,0,R3H,,1970
1399 Pacific Ave,Multi-Family,10/24/2008,5672950,8.47,6.13,98.03,97809,57867,58,47,Good,C,Masonry,37.719586,-122.166111,44,14,0,3,94577,2 Star,0,0,,1970
3998 East Ave,Multi-Family,9/26/2003,5400000,8.93,6.41,161.73,103846,33390,52,53,Good,C,Masonry,37.680524,-121.749046,44,8,0,2,94550,2 Star,0,R-G-16,,1964
2215 Carroll St,Multi-Family,7/18/2002,1795000,8.31,7.06,35.95,30948,49932,58,85,Good,C,Masonry,37.800867,-122.245668,43,0,0,3,94606,2 Star,0,R-70,1031 Exchange,1932
529 Stevenson St,Multi-Family,2/3/2017,23000000,,4.87,741.94,450980,31000,51,93,Good,B,,37.7811339,-122.4103229,43,0,0,4,94103,3 Star,0,C3G,,1924
6638 Macarthur Blvd (Part of Portfolio),Multi-Family,2/23/2007,3999750,,,57.84,45451,69150,88,60,Good,C,Wood Frame,37.772406,-122.176906,43,42,2,2,94605,2 Star,0,R-70,Bulk/Portfolio Sale,1957
6638 Macarthur Blvd,Multi-Family,10/6/2000,1380000,6.42,9.14,19.96,15682,69150,88,60,Good,C,Wood Frame,37.772406,-122.176906,43,42,2,2,94605,2 Star,0,R-70,1031 Exchange,1957
39 N Broadway Ave (Part of Multi-Property Sale),Multi-Family,3/15/2012,,,,,,36898,43,53,Good,C,Masonry,38.027806,-121.941367,43,0,0,2,94565,2 Star,0,M-17,,1964
2250 96th Ave,Multi-Family,8/31/2001,3073000,5.85,10.87,69.49,53912,44224,57,56,Good,C,Masonry,37.749769,-122.161505,43,14,0,2,94603,2 Star,0,R50,1031 Exchange,1961
790 DeLong Ave,Multi-Family,4/19/2012,67000000,,5,347.28,540323,192927,124,8,Good,A,Reinforced Concrete,38.1059315,-122.5661228,43,78,3,5,94945,4 Star,0,0,,2009
1106 Bush St,Multi-Family,10/6/2016,20775000,,3.1,660.57,494643,31450,42,103,Good,B,,37.7895046,-122.4156612,42,0,0,6,94109,3 Star,0,RC4,,1914
540 Capp St,Multi-Family,7/9/2003,4293000,8.5,6.15,99.68,102214,43068,42,53,Good,C,Wood Frame,37.758263,-122.418328,42,0,0,3,94110,2 Star,0,RM1,1031 Exchange,1964
