Address,Type,SaleDate,SalePrice,GRM,Cap,PricePerSF,PricePerUnit,BldgSF,NumberOfUnits,Age,BuildingCondition,BuildingClass,BuildingMaterials,Latitude,Longitude,1Bedrooms,2Bedrooms,3Bedrooms,Floors,ZipCode,Rating,Vacancy,Zoning,SaleCondition,YearBuilt
122 Ross St,Multi-Family,9/30/2004,3625000,13.24,5.36,290,145000,12500,25,44,Good,C,Wood Frame,37.969259,-122.536151,25,0,0,3,94901,2 Star,0,MR21,,1973
245 17th St,Multi-Family,9/15/2005,4250000,10.28,5.34,139.64,111842,30436,38,55,Good,C,Masonry,37.8047213,-122.2645777,25,12,0,5,94612,2 Star,0,N/Av,,1962
1555 Madison St,Multi-Family,3/28/2007,2650000,,5.96,145.33,98148,18234,27,60,Good,C,Reinforced Concrete,37.8033376,-122.2633196,25,2,0,3,94612,2 Star,0,R-90,,1957
500 Canyon Oaks Dr,Multi-Family,10/24/2012,3675000,,4.8,84.6,10068,43438,365,31,Good,B,Wood Frame,37.7727915,-122.1470416,25,38,0,2,94605,3 Star,0,N/Av,,1986
2747 Haste St,Multi-Family,11/19/2013,6900000,,2.1,324.77,276000,21246,25,92,Good,C,,37.8670061,-122.2520821,25,0,0,3,94704,2 Star,0,0,,1925
2619 Laurel St,Multi-Family,11/18/2005,2215000,9.29,6.58,136.31,88600,16250,25,49,Good,C,Masonry,38.293671,-122.304932,25,0,0,2,94558,2 Star,0,N/Av,,1968
3827-3831 Pacheco Blvd,Multi-Family,3/6/2008,2548000,8.46,,139.44,101920,18273,25,37,Good,C,,38.0100391,-122.0976977,25,0,0,2,94553,2 Star,0,0,,1980
1755 Van Ness Ave,Multi-Family,12/20/2016,29850000,25.21,1.75,629.88,621875,47390,48,89,Good,B,,37.7919193,-122.4230363,24,0,0,7,94109,3 Star,0,RC-4,1031 Exchange,1928
1935 Franklin St,Multi-Family,6/30/2015,18900000,,4,450,450000,42000,42,89,Good,B,Masonry,37.792447,-122.424634,24,12,0,7,94109,3 Star,0,RM-3,,1928
381 Oakland Ave,Multi-Family,8/27/2008,1923545,9.22,6.38,152.74,80148,12594,24,92,Good,C,Wood Frame,37.817433,-122.256091,24,0,0,3,94611,2 Star,0,R-70,,1925
547 24th St,Multi-Family,12/28/2011,1399000,,7,91.62,58292,15270,24,101,Good,C,Wood Frame,37.8134344,-122.2701591,24,0,0,3,94612,2 Star,0,C-45,REO Sale,1916
3440 20th St,Multi-Family,12/24/2014,13600000,14.62,4.22,508.34,348718,26754,39,52,Good,B,Wood Frame,37.759054,-122.417803,24,6,0,3,94110,3 Star,0,RTO-Mission,,1965
3440 20th St,Multi-Family,12/31/2002,4150000,8.62,7.08,155.12,106410,26754,39,52,Good,C,Wood Frame,37.759054,-122.417803,24,6,0,3,94110,3 Star,0,RTO-Mission,,1965
1085 S Van Ness Ave,Multi-Family,11/22/2002,3300000,10.41,6.75,151.85,110000,21732,30,53,Good,C,Wood Frame,37.755874,-122.4163082,24,0,0,3,94110,3 Star,0,RM-2,1031 Exchange,1964
3440 20th St (Part of Portfolio),Multi-Family,2/25/2011,,,,,,26754,39,52,Good,B,Wood Frame,37.759054,-122.417803,24,6,0,3,94110,3 Star,0,RTO-Mission,Bulk/Portfolio Sale,1965
315 Wayne Pl,Multi-Family,8/15/2007,6150000,11.2,5,153.59,133696,40041,46,51,Good,C,Wood Frame,37.8002736,-122.2513806,24,16,1,4,94606,2 Star,0,R-70,1031 Exchange,1966
266 Lenox Ave,Multi-Family,8/31/2012,4875000,,5.2,154.23,135417,31608,36,91,Good,C,Masonry,37.8122464,-122.257739,24,0,0,7,94610,2 Star,0,0,,1926
372 Euclid Ave,Multi-Family,2/2/2011,3395700,,,81.65,106116,41588,32,49,Good,C,Wood Frame,37.811978,-122.251531,24,5,0,4,94610,2 Star,0,0,,1968
455 Euclid Ave,Multi-Family,12/27/2002,5190000,11.99,5.04,269.01,216250,19293,24,67,Good,C,Wood Frame,37.783791,-122.453888,24,0,0,3,94118,2 Star,0,RM-2,1031 Exchange,1950
438 15th Ave,Multi-Family,7/26/2002,4375000,12,5.24,231.85,182292,18870,24,52,Good,C,,37.779725,-122.473611,24,0,0,3,94118,2 Star,0,RM1,,1965
650 Alvarado St (Part of Portfolio),Multi-Family,6/8/2011,7425000,,,349.63,275000,21237,27,53,Good,C,,37.7538816,-122.4355151,24,3,0,4,94114,3 Star,0,RM2,Bulk/Portfolio Sale,1964
650 Alvarado St,Multi-Family,6/4/2004,4900000,11.29,4.84,230.73,181481,21237,27,53,Good,C,,37.7538816,-122.4355151,24,3,0,4,94114,3 Star,0,RM2,Bulk/Portfolio Sale,1964
736 Smalley Ave,Multi-Family,3/15/2000,1300000,9.94,5.09,56.97,50000,22821,26,53,Good,C,Masonry,37.673317,-122.087867,24,0,2,3,94541,2 Star,0,CG,1031 Exchange,1964
500-524 Van Ness Ave,Multi-Family,3/3/2011,14000000,,8,301.08,291667,46500,48,102,Good,B,Reinforced Concrete,37.7803766,-122.4198999,24,0,0,4,94102,3 Star,0,C2,REO Sale,1915
300 Buchanan St,Multi-Family,5/31/2002,8000000,9.11,6.25,122.62,133333,65241,60,86,Good,C,Masonry,37.7728255,-122.4270273,24,0,0,7,94102,2 Star,0,RM-2,1031 Exchange,1931
245 Leavenworth St (Part of Portfolio),Multi-Family,10/29/2014,7134545,,,269.94,148636,26430,48,107,Good,B,Masonry,37.7833689,-122.4145494,24,0,0,6,94102,3 Star,0,RC4,Bulk/Portfolio Sale,1910
245 Leavenworth St,Multi-Family,10/18/2012,5200000,9.67,5.8,196.75,108333,26430,48,107,Good,B,Masonry,37.7833689,-122.4145494,24,0,0,6,94102,3 Star,0,RC4,,1910
245 Leavenworth St,Multi-Family,6/12/2008,4530000,9.51,7.04,171.4,94375,26430,48,107,Good,B,Masonry,37.7833689,-122.4145494,24,0,0,6,94102,3 Star,0,RC4,1031 Exchange,1910
55 Fairfax St,Multi-Family,9/28/2001,4395000,8.76,7.32,97.33,109875,45154,40,53,Good,B,,37.965186,-122.503638,24,16,0,2,94901,3 Star,0,H-R1.5,,1964
83 Woodland Ave,Multi-Family,8/6/2004,4175000,9.5,7.72,126.52,134677,33000,31,57,Good,C,,37.962858,-122.519669,24,7,0,2,94901,2 Star,0,HR1.8,,1960
83 Woodland Ave,Multi-Family,3/22/2000,2450000,7.2,10.33,74.24,79032,33000,31,57,Good,C,,37.962858,-122.519669,24,7,0,2,94901,2 Star,0,HR1.8,,1960
1529 Alice St,Multi-Family,4/26/2005,3300000,9.52,6.64,107.84,100000,30600,33,50,Good,C,Masonry,37.804475,-122.2655837,24,5,1,3,94612,2 Star,0,N/Av,1031 Exchange,1967
8603 Hillside St (Part of Multi-Property Sale),Multi-Family,8/27/2010,1566667,,,41.26,33333,37969,47,53,Good,C,Masonry,37.757421,-122.164725,24,12,9,2,94605,2 Star,0,N/Av,High Vacancy Property,1964
7975-7979 Macarthur Blvd,Multi-Family,12/10/2010,450000,2.04,11.42,27.49,18750,16368,24,77,Good,C,Masonry,37.763744,-122.166324,24,0,0,2,94605,2 Star,0,R-50,High Vacancy Property,1940
3565 Dimond Ave,Multi-Family,4/29/2011,2315000,7.7,8,126.62,77167,18283,30,57,Good,C,Wood Frame,37.8020024,-122.2172798,24,2,0,3,94602,2 Star,0,R-40,,1960
3565 Dimond Ave,Multi-Family,2/27/2001,2050000,,7.1,112.13,68333,18283,30,57,Good,C,Wood Frame,37.8020024,-122.2172798,24,2,0,3,94602,2 Star,0,R-40,1031 Exchange,1960
4350 Kirkham St,Multi-Family,6/9/2004,3275000,10.07,5.81,130.9,136458,25020,24,53,Good,C,Wood Frame,37.7586664,-122.5076981,24,0,0,3,94122,2 Star,0,RM1,1031 Exchange,1964
41078 Farallon Cmn,Multi-Family,12/1/2015,6750000,,5.5,140.43,168750,48067,40,4,Good,B,Wood Frame,37.5342078,-121.9546072,24,12,4,4,94538,4 Star,0,0,Debt Assumption,2013
40510-40518 Grimmer Blvd,Multi-Family,8/21/2002,2700000,9.96,5.69,194.52,108000,13880,25,53,Good,C,Wood Frame,37.53751,-121.964211,24,1,0,2,94538,2 Star,0,RG-19,,1964
2001 Broadway,Multi-Family,10/29/1999,1230000,7.08,8.41,51.85,51250,23720,24,24,Good,C,Wood Frame,37.969063,-122.345466,24,0,0,2,94806,3 Star,0,R1B37,1031 Exchange,1993
1529-1531 Russell St,Multi-Family,6/11/2004,2730000,9,6.3,158.61,85313,17212,32,61,Good,C,Masonry,37.855435,-122.278011,24,4,0,2,94703,2 Star,0,R-50,1031 Exchange,1956
2500 Durant Ave,Multi-Family,8/10/2012,11600000,,5.35,317.11,290000,36580,40,103,Good,C,Masonry,37.867668,-122.258732,24,4,0,5,94704,2 Star,0,C-T,Historical Site,1914
1600 162nd Ave,Multi-Family,8/18/2016,8900000,,5,287.18,202273,30991,44,55,Good,C,Wood Frame,37.6995423,-122.1137363,24,20,0,2,94578,2 Star,0,0,,1962
1955 Chestnut St,Multi-Family,5/28/2004,2450000,8.95,6.9,148.16,102083,16536,24,90,Good,C,Wood Frame,37.870113,-122.287828,24,0,0,4,94702,2 Star,0,R-4,1031 Exchange,1927
2440 Old Sonoma Rd,Multi-Family,7/20/2001,3400000,7.4,8.21,133.17,82927,25531,41,54,Good,C,Wood Frame,38.2883761,-122.3035147,24,17,0,2,94558,2 Star,0,RH-18,1031 Exchange,1963
1406 Henry St,Multi-Family,11/5/2015,8000000,,,445.04,333333,17976,24,53,Good,C,,37.8813255,-122.2711815,24,0,0,3,94709,2 Star,0,R2A,,1964
1406 Henry St,Multi-Family,6/24/2014,5650000,13.4,3.85,314.31,235417,17976,24,53,Good,C,,37.8813255,-122.2711815,24,0,0,3,94709,2 Star,0,R2A,1031 Exchange,1964
1525 Spruce St,Multi-Family,10/23/2013,2530000,,,131.77,105417,19200,24,92,Good,C,,37.879696,-122.265507,24,0,0,3,94709,2 Star,0,R2A,Deferred Maintenance,1925
280 Merrydale Rd,Multi-Family,1/11/2006,4495000,12.4,5.21,204.32,160536,22000,28,43,Good,C,,37.99827,-122.536505,24,4,0,2,94903,2 Star,0,MR1,1031 Exchange,1974
130-140 Gardenside Dr,Multi-Family,8/13/2002,5000000,11.9,5.59,191.41,147059,26122,34,42,Good,C,Wood Frame,37.753467,-122.444842,24,4,0,5,94131,2 Star,0,RH-2,Bulk/Portfolio Sale,1975
2525 Stuart St,Multi-Family,12/29/2005,2885000,9.56,5.74,117.42,120208,24570,24,59,Good,C,Reinforced Concrete,37.860009,-122.256081,24,0,0,6,94705,2 Star,0,R-2,,1958
38863 Fremont Blvd,Multi-Family,2/22/2006,6800000,10.62,5.28,158.7,125926,42848,54,47,Good,C,,37.549095,-121.989787,24,20,0,2,94536,2 Star,0,R-G-24,,1970
388 Fulton St,Multi-Family,1/4/2017,4500000,,,2365.93,65217,1902,69,1,Good,A,Wood Frame,37.779003,-122.423139,23,23,0,,94102,4 Star,0,0,Investment Triple Net,2016
388 Fulton St,Multi-Family,1/4/2017,,,,,,1208,69,1,Good,A,Wood Frame,37.779003,-122.423139,23,23,0,,94102,4 Star,0,0,Investment Triple Net,2016
266 Adams St,Multi-Family,1/27/2012,4600000,,5.09,138.73,124324,33159,37,49,Good,C,Masonry,37.813305,-122.257263,23,7,0,4,94610,2 Star,0,R-50,1031 Exchange,1968
259 MacArthur Blvd,Multi-Family,5/14/2003,4525000,8.38,7.06,131.74,94271,34347,48,56,Good,B,Masonry,37.815283,-122.2524536,23,25,0,3,94610,2 Star,0,R-70,,1961
266 Adams St,Multi-Family,9/8/2005,4262000,13.15,3.36,128.53,115189,33159,37,49,Good,C,Masonry,37.813305,-122.257263,23,7,0,4,94610,2 Star,0,R-50,,1968
266 Adams St,Multi-Family,8/29/2003,2960000,,3.5,89.27,80000,33159,37,49,Good,C,Masonry,37.813305,-122.257263,23,7,0,4,94610,2 Star,0,R-50,Deferred Maintenance,1968
2945 McClure St,Multi-Family,7/26/2007,2550000,,4,157.49,106250,16192,24,54,Good,C,Masonry,37.8188485,-122.2664845,23,1,0,4,94609,2 Star,0,N/Av,,1963
2945 McClure St,Multi-Family,11/7/2003,2100000,9.79,6.33,129.69,87500,16192,24,54,Good,C,Masonry,37.8188485,-122.2664845,23,1,0,4,94609,2 Star,0,N/Av,1031 Exchange,1963
456 Wayne Ave,Multi-Family,3/15/2013,3800000,10,5.13,154.85,131034,24540,29,54,Good,C,Masonry,37.8038623,-122.2507896,23,6,0,3,94606,2 Star,0,0,Deferred Maintenance,1963
1929 26th Ave,Multi-Family,12/27/2007,1340000,8.02,6.95,88.16,58261,15200,23,89,Good,C,Reinforced Concrete,37.785154,-122.228778,23,0,0,3,94601,2 Star,0,C-30,,1928
1 Cabrillo St,Multi-Family,10/17/2007,5800000,17,4,276.19,252174,21000,23,51,Good,C,,37.7753841,-122.4587959,23,0,0,3,94118,2 Star,0,RM2,,1966
1704 Clayton Rd,Multi-Family,3/24/2015,7350000,12,5.02,254.81,183750,28845,40,48,Good,B,,37.9718394,-122.0399759,23,17,0,3,94520,3 Star,0,0,,1969
1621 Detroit Ave,Multi-Family,2/24/2015,4925000,,5.14,197.33,140714,24958,35,51,Good,C,,37.968967,-122.042383,23,12,0,2,94520,2 Star,0,0,,1966
1704 Clayton Rd,Multi-Family,12/28/2011,3825000,8.2,6.7,67.34,95625,56799,40,48,Good,C,Masonry,37.971797,-122.039901,23,17,0,3,94520,2 Star,0,M1,,1969
1730 Adelaide St,Multi-Family,5/2/2001,2925000,10.01,6.66,76.63,83571,38170,35,51,Good,C,Wood Frame,37.970961,-122.040158,23,12,0,2,94520,2 Star,0,M1,1031 Exchange,1966
347 Eddy St (Part of Portfolio),Multi-Family,10/29/2014,5945455,,,242.19,148636,24549,40,91,Good,B,Masonry,37.7836334,-122.4133446,23,0,0,6,94102,3 Star,0,Rc-4,Bulk/Portfolio Sale,1926
347 Eddy St,Multi-Family,11/30/2012,5250000,,5.67,213.86,131250,24549,40,91,Good,B,Masonry,37.7836334,-122.4133446,23,0,0,6,94102,3 Star,0,Rc-4,,1926
348 Estabrook St,Multi-Family,1/4/2016,7200000,14.11,3.62,202.94,189474,35478,38,52,Good,C,Masonry,37.7173123,-122.1532629,23,13,2,3,94577,2 Star,0,0,,1965
111 Preda St,Multi-Family,6/5/2002,2300000,8.08,7.37,113.58,88462,20250,26,54,Good,C,Masonry,37.72298,-122.169626,23,3,0,2,94577,2 Star,0,R,,1963
130-144 14th St,Multi-Family,12/3/2010,1850000,6.19,8.1,84.15,80435,21985,23,91,Good,C,Masonry,37.80153,-122.263591,23,0,0,2,94612,2 Star,0,C-51/S-4,REO Sale,1926
1520 Castro St,Multi-Family,10/21/2004,1475000,7.75,7.5,75.68,64130,19491,23,53,Good,C,Masonry,37.8077747,-122.2760663,23,0,0,3,94612,2 Star,0,C-51,,1964
8603 Hillside St,Multi-Family,3/19/2004,4500000,7.72,7.78,118.52,95745,37969,47,53,Good,C,Masonry,37.757421,-122.164725,23,13,8,2,94605,2 Star,0,N/Av,1031 Exchange,1964
2645 Church Ln,Multi-Family,5/10/2007,2029000,,4.8,109.6,78038,37025,52,45,Good,C,Wood Frame,37.962355,-122.337226,23,11,0,3,94806,2 Star,0,R3,Partial Interest Transfer,1972
1800 Spruce St,Multi-Family,4/30/2015,8300000,,3.79,468.93,319231,17700,26,51,Good,C,,37.87499,-122.2657409,23,3,0,4,94709,2 Star,0,0,,1966
19972 Stanton Ave,Multi-Family,11/23/2016,20000000,13.89,4.89,452.49,322581,44200,62,56,Good,C,Masonry,37.698811,-122.091222,22,34,6,2,94546,2 Star,4.84,R5D,1031 Exchange,1961
990 Geary St,Multi-Family,4/25/2014,13200000,,4.2,318.96,220000,41385,60,103,Good,B,Masonry,37.7861892,-122.4196622,22,0,0,6,94109,3 Star,0,RC-4,,1914
1918 Lakeshore Ave,Multi-Family,6/20/2014,8400000,,5,257.53,221053,32618,38,91,Good,C,Masonry,37.802848,-122.253256,22,1,0,7,94606,3 Star,0,R-50,,1926
1918 Lakeshore Ave,Multi-Family,6/14/2013,5500000,11,5.1,168.62,144737,32618,38,91,Good,C,Masonry,37.802848,-122.253256,22,1,0,7,94606,3 Star,0,R-50,,1926
1918 Lakeshore Ave,Multi-Family,4/7/2004,4900000,10,7.81,150.22,128947,32618,38,91,Good,C,Masonry,37.802848,-122.253256,22,1,0,7,94606,3 Star,0,R-50,,1926
1918 Lakeshore Ave,Multi-Family,10/15/1999,3200000,8.65,5.44,98.11,84211,32618,38,91,Good,C,Masonry,37.802848,-122.253256,22,1,0,7,94606,3 Star,0,R-50,,1926
882 Cleveland St,Multi-Family,4/9/2004,2775000,9.61,6.45,131.09,106731,21168,26,70,Good,C,Masonry,37.803229,-122.240236,22,0,0,4,94606,2 Star,0,N/Av,1031 Exchange,1947
1530-1536 6th Ave,Multi-Family,4/29/2005,2500000,10.14,5.9,94.79,100000,26373,25,54,Good,C,Wood Frame,37.795777,-122.251446,22,3,0,3,94606,2 Star,0,N/Av,1031 Exchange,1963
461-465 Bellevue Ave,Multi-Family,5/9/2008,5200000,11.3,5.65,295.39,236364,17604,22,96,Good,C,Masonry,37.8078967,-122.2531942,22,0,0,3,94610,2 Star,0,0,,1921
406 Van Buren Ave,Multi-Family,1/9/2007,3875000,,,149.9,129167,25851,30,58,Good,C,Wood Frame,37.810678,-122.253267,22,5,0,3,94610,2 Star,0,N/Av,,1959
375 Staten Ave,Multi-Family,6/9/2006,2200000,9.94,5.64,140.38,95652,15672,23,55,Good,C,Wood Frame,37.8111554,-122.2542266,22,1,0,4,94610,2 Star,0,N/Av,1031 Exchange,1962
1900 26th Ave,Multi-Family,7/1/2015,4150000,,7.24,192.37,98810,21573,42,89,Good,C,Masonry,37.784807,-122.228562,22,0,0,3,94601,2 Star,0,C-30,,1928
1627 High St,Multi-Family,2/23/2001,1812500,7.36,7.07,66.21,56641,27377,32,53,Good,C,Masonry,37.7738219,-122.2133843,22,10,0,4,94601,2 Star,0,R-40,,1964
1723 28th Ave,Multi-Family,12/18/2003,1735000,7.87,7.36,128.44,66731,13508,26,54,Good,C,Masonry,37.782864,-122.22771,22,3,0,2,94601,2 Star,0,R-50,,1963
1701-1707 36th Ave,Multi-Family,2/15/2002,1360000,7.54,7.52,101.87,56667,13350,24,77,Good,C,Masonry,37.7799747,-122.2196349,22,1,0,3,94601,2 Star,0,R-50,,1940
1701-1707 36th Ave,Multi-Family,5/26/2000,1055000,5.99,10.65,79.03,43958,13350,24,77,Good,C,Masonry,37.7799747,-122.2196349,22,1,0,3,94601,2 Star,0,R-50,1031 Exchange,1940
2001 Pierce St,Multi-Family,6/9/2006,14450000,16.16,3.95,338.57,321111,42680,45,89,Good,B,Wood Frame,37.7887506,-122.4373927,22,6,0,6,94115,3 Star,0,RM2,,1928
2001 Pierce St,Multi-Family,8/28/2009,14400000,11.9,5.5,337.39,320000,42680,45,89,Good,B,Wood Frame,37.7887506,-122.4373927,22,6,0,6,94115,3 Star,0,RM2,REO Sale,1928
1 Cabrillo St,Multi-Family,10/30/2009,4480000,10.5,6.12,213.33,194783,21000,23,51,Good,C,,37.7753841,-122.4587959,22,1,0,3,94118,2 Star,0,RM2,,1966
1621 Adelaide St,Multi-Family,7/1/2014,4000000,,5.2,146.58,114286,27288,35,50,Good,C,Wood Frame,37.970245,-122.040597,22,13,0,2,94520,2 Star,0,M1,1031 Exchange,1967
1621 Adelaide St,Multi-Family,12/17/2012,3695000,9.85,5.4,135.41,105571,27288,35,50,Good,C,Wood Frame,37.970245,-122.040597,22,13,0,2,94520,2 Star,0,M1,Deferred Maintenance,1967
1650 Adelaide St,Multi-Family,9/1/1999,2225000,,8.05,55.63,63571,40000,35,47,Good,C,Wood Frame,37.970645,-122.039911,22,13,0,2,94520,2 Star,0,M1,,1970
331 Octavia St,Multi-Family,11/17/2000,2585000,10.61,6.24,185.3,107708,13950,24,111,Good,C,Reinforced Concrete,37.775349,-122.424559,22,0,0,3,94102,3 Star,0,RM-2,,1906
2800 Nicol Ave,Multi-Family,12/9/2005,2200000,10.12,5.63,164.79,95652,13350,23,57,Good,C,Wood Frame,37.794284,-122.217068,22,1,0,2,94602,2 Star,0,N/Av,,1960
2800 Nicol Ave,Multi-Family,12/31/2003,1910000,7.78,7.57,143.07,83043,13350,23,57,Good,C,Wood Frame,37.794284,-122.217068,22,1,0,2,94602,2 Star,0,N/Av,,1960
1300 26th Ave,Multi-Family,4/27/2011,5634000,12.38,4.34,181.68,194276,31010,29,88,Needs Improvement,B,Masonry,37.7630146,-122.4844109,22,0,0,6,94122,2 Star,0,NC2,,1929
825 Pine St (Part of Multi-Property Sale),Multi-Family,12/23/2014,8333333,,,380.52,260416,21900,32,94,Good,C,Wood Frame,37.7907388,-122.4095095,22,0,0,3,94108,2 Star,0,RM4,,1923
1270 143rd Ave,Multi-Family,7/24/2013,3200000,10.12,5.77,222.22,114286,14400,28,57,Good,C,Wood Frame,37.710503,-122.138316,22,6,0,2,94578,2 Star,0,RM-1800,1031 Exchange,1960
1811 Novato Blvd,Multi-Family,3/28/2001,10150000,8.92,6.8,159.59,145000,63600,70,43,Good,B,Wood Frame,38.1083269,-122.5845435,22,40,8,2,94947,2 Star,0,PD,1031 Exchange,1974
748 Oakland Ave,Multi-Family,6/30/2016,9750000,,3.96,412.45,348214,23639,28,51,Good,C,Masonry,37.820959,-122.248405,21,6,0,3,94611,2 Star,3.57,R-70,,1966
1060 Bush St,Multi-Family,10/20/2004,8500000,8.95,6.63,180.56,114865,47075,74,105,Good,B,Steel,37.789682,-122.414853,21,6,0,5,94109,3 Star,0,RC4,Bulk/Portfolio Sale,1912
1312 Jackson St,Multi-Family,9/7/2012,2720000,15.7,4.92,245.49,129524,11080,21,108,Good,C,Wood Frame,37.794952,-122.416853,21,0,0,4,94109,2 Star,0,RM3,,1909
285 Fairmount Ave,Multi-Family,1/29/2016,3050000,14.73,3.1,178.57,145238,17080,21,55,Good,C,Masonry,37.8179259,-122.2592184,21,0,0,3,94611,2 Star,0,0,,1962
82-88 Garland Ave,Multi-Family,1/13/2006,2350000,10.54,6.13,113.25,102174,20750,23,53,Good,C,Masonry,37.817094,-122.25816,21,2,0,3,94611,2 Star,0,R-70,,1964
82-88 Garland Ave,Multi-Family,4/29/2005,2300000,10.37,5.27,110.84,100000,20750,23,53,Good,C,Masonry,37.817094,-122.25816,21,2,0,3,94611,2 Star,0,R-70,,1964
1148 E 18th St,Multi-Family,12/29/2015,7287709,,4.9,220.41,347034,33065,21,95,Good,C,Masonry,37.793688,-122.244292,21,0,0,1,94606,2 Star,0,0,,1922
2014 5th Ave,Multi-Family,8/31/2005,4530000,9.3,6.33,80.27,100667,56432,45,58,Good,C,Wood Frame,37.799771,-122.247729,21,15,0,3,94606,2 Star,0,R-50,,1959
2014 5th Ave,Multi-Family,7/10/2003,1284500,,8,22.76,28544,56432,45,58,Good,C,Wood Frame,37.799771,-122.247729,21,15,0,3,94606,2 Star,0,R-50,,1959
1185 Meadow Ln,Multi-Family,1/28/2005,2550000,9.06,5.66,134.61,102000,18944,25,34,Good,C,Wood Frame,37.959247,-122.04186,21,4,0,2,94520,2 Star,0,M1,,1983
1704 Clayton Rd,Multi-Family,1/14/2000,2200000,7.2,8.19,38.73,59459,56799,37,48,Good,C,Masonry,37.971797,-122.039901,21,13,3,3,94520,2 Star,0,M1,,1969
885 Franklin St,Multi-Family,7/17/2013,6200000,,4,357.68,295238,17334,21,40,Good,C,,37.7824259,-122.4226581,21,0,0,3,94102,2 Star,0,RM-4,,1977
200 Van Ness Ave,Multi-Family,8/11/2005,3200000,10.67,5.79,192.89,118519,16590,27,111,Good,B,Masonry,37.7774942,-122.4194552,21,0,0,3,94102,2 Star,0,C3G,1031 Exchange,1906
200 Van Ness Ave,Multi-Family,8/2/2002,2625000,11.93,4.53,158.23,97222,16590,27,111,Good,B,Masonry,37.7774942,-122.4194552,21,0,0,3,94102,2 Star,0,C3G,1031 Exchange,1906
45 Woodland Ave,Multi-Family,9/12/2003,3100000,9.55,6.91,145.36,106897,21327,29,60,Good,C,Wood Frame,37.9621403,-122.5164578,21,7,0,2,94901,2 Star,0,N/Av,,1957
2341 Chestnut St,Multi-Family,3/31/2000,3750000,11.03,6.01,171.42,178571,21876,21,89,Good,C,Reinforced Concrete,37.799758,-122.441916,21,0,0,4,94123,3 Star,0,NC-2,,1928
1401 Jackson St,Multi-Family,3/19/2015,15900000,,4,273.2,353333,58200,45,8,Good,A,,37.8022185,-122.2653749,21,24,0,7,94612,4 Star,0,Condominum/Urban Res,,2009
7878 Macarthur Blvd,Multi-Family,12/10/2010,620000,3.36,3.37,53.65,29524,11556,21,57,Good,C,Masonry,37.765599,-122.1670051,21,0,0,2,94605,2 Star,0,R-50,High Vacancy Property,1960
1230 Broookside Dr,Multi-Family,6/30/2006,3000000,8.02,6.73,84.71,83333,35417,36,52,Good,C,Wood Frame,37.963807,-122.355915,21,15,0,3,94806,3 Star,0,R2,,1965
1230 Broookside Dr,Multi-Family,11/9/2001,2350000,7.88,8.06,66.35,65278,35417,36,52,Good,C,Wood Frame,37.963807,-122.355915,21,15,0,3,94806,3 Star,0,R2,,1965
737 Pine St,Multi-Family,12/1/2005,12000000,17.52,3.34,375.23,307692,31980,39,88,Good,C,Masonry,37.791009,-122.407939,21,0,0,6,94108,2 Star,0,RM4,,1929
2206 Haste St,Multi-Family,12/24/2003,2360000,10.4,6.16,75.09,112381,31428,21,90,Good,C,Masonry,37.8650371,-122.2649987,21,0,0,3,94704,2 Star,0,0,,1927
2610 Center Ave,Multi-Family,9/19/2002,1975000,6.41,8.92,122.28,58088,16152,34,75,Good,C,Wood Frame,37.9305183,-122.3446206,21,2,0,2,94804,2 Star,0,0,1031 Exchange,1942
1244-1246 Hearst Ave,Multi-Family,5/9/2014,3750000,,5.75,270.72,163043,13852,23,99,Good,C,Wood Frame,37.8706345,-122.2888448,21,2,0,3,94702,2 Star,0,R2/R2A,,1918
2280-2288 Brown St,Multi-Family,1/26/2001,1631818,9.73,5.61,108.43,67992,15050,24,,Good,C,Masonry,38.3102675,-122.2945369,21,3,0,2,94558,2 Star,0,RH18,,
314-324 105th Ave,Multi-Family,5/10/2016,3120000,,7.5,92.1,63673,33876,49,54,Good,C,Masonry,37.726262,-122.181765,21,28,0,2,94603,2 Star,0,0,Deferred Maintenance,1963
314-324 105th Ave,Multi-Family,11/9/2012,1800000,4.98,10.67,53.13,36735,33876,49,54,Good,C,Masonry,37.726262,-122.181765,21,27,0,2,94603,2 Star,0,0,,1963
1030-1042 Polk St,Multi-Family,11/4/2014,13000000,,5.3,344.95,361111,37687,42,111,Good,B,Masonry,37.7866031,-122.4196742,20,12,0,5,94109,3 Star,11.25,RC4,,1906
200-206 E 15th St (Part of Multi-Property Sale),Multi-Family,7/12/2013,2550000,,,210.81,106250,12096,24,62,Good,C,Masonry,37.7986854,-122.2550563,20,0,0,2,94606,2 Star,8.33,RES,,1955
952 Sutter St,Multi-Family,9/17/2015,31000000,14,,731.74,543860,42365,57,107,Good,B,,37.7885542,-122.4161862,20,6,0,6,94109,4 Star,0,RC-4,High Vacancy Property,1910
1845 Franklin St,Multi-Family,7/31/2013,13998998,18.03,3.31,402.95,466633,34741,30,91,Good,C,Masonry,37.7918121,-122.4246337,20,0,1,6,94109,2 Star,0,RM3,,1926
815 O'Farrell St (Part of Portfolio),Multi-Family,9/19/2011,8012474,,,407.76,190773,19650,42,103,Good,C,Masonry,37.7849847,-122.4183158,20,0,0,6,94109,2 Star,0,RC4,Bulk/Portfolio Sale,1914
